{'评论时间': '2024-02-07 21:33:04', 'IP属地': '湖南', '评论内容': '不都是中国人吗？为什么天灾也要骂，那些传统美德都哪去了'}
{'评论时间': '2024-02-07 20:11:05', 'IP属地': '甘肃', '评论内容': '湖北加油'}
{'评论时间': '2024-02-07 04:54:00', 'IP属地': '山东', '评论内容': '山东人为湖北加油，早日渡过冰冻难关'}
{'评论时间': '2024-02-07 12:40:44', 'IP属地': '四川', '评论内容': '不不不，电车省油'}
{'评论时间': '2024-02-07 16:08:46', 'IP属地': '北京', '评论内容': '我的娘 评论区一堆流氓 太流氓了！这时候我忍不住想说一句！我能加入你们吗？'}
{'评论时间': '2024-02-07 16:00:08', 'IP属地': '山东', '评论内容': '就湖北有冻雨'}
{'评论时间': '2024-02-07 14:21:51', 'IP属地': '河南', '评论内容': '湖北加油'}
{'评论时间': '2024-02-07 17:12:21', 'IP属地': '湖南', '评论内容': '没用的，你越展示，喷子们就越来劲'}
{'评论时间': '2024-02-07 15:53:23', 'IP属地': '辽宁', '评论内容': '东北的都没吐槽 湖北的竟然吐槽起来了'}
{'评论时间': '2024-02-07 06:06:11', 'IP属地': '江苏', '评论内容': '湖北加油，湖北挺住'}
{'评论时间': '2024-02-07 17:20:09', 'IP属地': '湖北', '评论内容': '辛苦了'}
{'评论时间': '2024-02-07 16:36:36', 'IP属地': '湖北', '评论内容': '湖北人刷到率我不说'}
{'评论时间': '2024-02-07 14:48:07', 'IP属地': '湖北', '评论内容': '为湖北人点赞'}
{'评论时间': '2024-02-07 18:26:47', 'IP属地': '山东', '评论内容': '听说湖北湖南高速都修在树上，原来是真的'}
{'评论时间': '2024-02-07 15:45:32', 'IP属地': '广东', '评论内容': '好解压，好想玩一下'}
{'评论时间': '2024-02-07 21:08:03', 'IP属地': '四川', '评论内容': '这就是中国🇨🇳……'}
{'评论时间': '2024-02-07 09:21:21', 'IP属地': '四川', '评论内容': '你不是在打雪仗，你是要杀人'}
{'评论时间': '2024-02-07 15:19:17', 'IP属地': '北京', '评论内容': '快快快，给全国人民普及一下雨夹雪，和冻雨区别'}
{'评论时间': '2024-02-07 21:42:01', 'IP属地': '广东', '评论内容': '得亏没去外地上班，回家真操心'}
{'评论时间': '2024-02-07 00:37:40', 'IP属地': '广东', '评论内容': '一年到头好不容易开车回家过年装逼，结果在高速路上过年'}
{'评论时间': '2024-02-07 02:11:47', 'IP属地': '湖南', '评论内容': '不是为什么要骂人啊？！拿到骂了雪和冻雨就不会下来？又不是他们的错'}
{'评论时间': '2024-02-07 12:00:19', 'IP属地': '江西', '评论内容': '刚开始下雪: 我们是南方，不用清'}
{'评论时间': '2024-02-07 13:19:58', 'IP属地': '吉林', '评论内容': '全国扫雪看湖北，湖北扫雪用锅铲！！！！'}
{'评论时间': '2024-02-07 11:26:49', 'IP属地': '河南', '评论内容': '好厚的冻雨'}
{'评论时间': '2024-02-07 08:20:23', 'IP属地': '湖南', '评论内容': '只有保险公司最怕过年了'}
{'评论时间': '2024-02-07 16:28:20', 'IP属地': '浙江', '评论内容': '能不能发明一种充五分钟开五百公里的能源啊网友：好怀念以前的油车'}
{'评论时间': '2024-02-07 15:42:20', 'IP属地': '上海', '评论内容': '我操这评论区，我不敢看了'}
{'评论时间': '2024-02-07 07:26:35', 'IP属地': '河北', '评论内容': '河北看到了，被湖北感动'}
{'评论时间': '2024-02-07 15:50:32', 'IP属地': '北京', '评论内容': '真牛逼啊，今年南方这冰雪比北方厉害太多了'}
{'评论时间': '2024-02-07 10:50:22', 'IP属地': '安徽', '评论内容': '电车充电宝'}
{'评论时间': '2024-02-07 12:47:15', 'IP属地': '安徽', '评论内容': '前天大雪，江苏连云港海州区下通知，雪停就要路面清理完，铲车和扫雪车一夜没停，融雪剂和盐洒了一天，环卫工人一夜没停，环卫工人辛苦了'}
{'评论时间': '2024-02-07 20:26:21', 'IP属地': '广东', '评论内容': '这才是人民好警察'}
{'评论时间': '2024-02-07 17:22:22', 'IP属地': '河南', '评论内容': '不要再说冻雨了，都知道那个领导请假出去玩了，这就是雪后不及时处理的正常现象，还冻雨！自欺欺人，掩耳盗铃！美其名曰:冻雨'}
{'评论时间': '2024-02-07 16:04:52', 'IP属地': '广西', '评论内容': '全中国只有湖北有雨加雪'}
{'评论时间': '2024-02-07 19:46:30', 'IP属地': '河北', '评论内容': '为湖北点赞'}
{'评论时间': '2024-02-07 10:33:41', 'IP属地': '福建', '评论内容': '电车堵车最好的办法就是厚着脸皮到找个油车蹭暖风'}
{'评论时间': '2024-02-07 08:08:10', 'IP属地': '山东', '评论内容': '安全回家'}
{'评论时间': '2024-02-07 11:46:32', 'IP属地': '安徽', '评论内容': '都买电车了，这高速非上不可么'}
{'评论时间': '2024-02-07 04:56:36', 'IP属地': '广东', '评论内容': '我的建议是买头牦牛，比啥车都好使。而且还不会堵车。'}
{'评论时间': '2024-02-07 21:10:37', 'IP属地': '河南', '评论内容': '河南高速上的雪不清理，车轧上去也是这样的'}
{'评论时间': '2024-02-07 18:56:25', 'IP属地': '江苏', '评论内容': '果然春暖花开冰雪融化，湖北的高速通了'}
{'评论时间': '2024-02-07 14:09:09', 'IP属地': '湖北', '评论内容': '这个不能让北方的看见，又要说我们为什么不修剪树枝'}
{'评论时间': '2024-02-07 11:18:06', 'IP属地': '河北', '评论内容': '湖北，一个英雄的省，湖北加油，雄起'}
{'评论时间': '2024-02-07 13:13:35', 'IP属地': '湖北', '评论内容': '这个跟我们湖北一模一样，脚踩到地下嘎嘣脆'}
{'评论时间': '2024-02-07 11:53:24', 'IP属地': '江苏', '评论内容': '全方面保护湖北，苏苏也是'}
{'评论时间': '2024-02-07 18:06:56', 'IP属地': '广东', '评论内容': '10年电车的车主告诉你，没电那你是没选对品牌'}
{'评论时间': '2024-02-07 20:11:15', 'IP属地': '湖北', '评论内容': '冰雪无情，湖北有爱！'}
{'评论时间': '2024-02-07 03:41:12', 'IP属地': '山东', '评论内容': '山东人为湖北加油'}
{'评论时间': '2024-02-07 13:02:58', 'IP属地': '河南', '评论内容': '就这?电车还妄图淘汰油车?你别忘了，发动机加酒精都能跑'}
{'评论时间': '2024-02-07 03:22:09', 'IP属地': '广西', '评论内容': '天王老子来了也是电车省油'}
{'评论时间': '2024-02-07 21:58:16', 'IP属地': '广西', '评论内容': '我帮你弄吧 我觉得好好玩'}
{'评论时间': '2024-02-07 04:34:47', 'IP属地': '江苏', '评论内容': '这是冻雨，这是车压的吧'}
{'评论时间': '2024-02-07 10:45:54', 'IP属地': '湖北', '评论内容': '这场大雪 涤荡了武汉2020年以来所有的病毒 待到冰雪融化的时候 武汉会插上翅膀一飞冲天'}
{'评论时间': '2024-02-07 21:03:44', 'IP属地': '湖北', '评论内容': '谁知道评论区有多少 焊剑 呢'}
{'评论时间': '2024-02-07 20:45:52', 'IP属地': '山东', '评论内容': '嗨，湖北'}
{'评论时间': '2024-02-07 11:49:19', 'IP属地': '北京', '评论内容': '长这么大真的头一次听到冻雨这个词'}
{'评论时间': '2024-02-07 10:05:01', 'IP属地': '山东', '评论内容': '木事，化不了，南方比北方冷'}
{'评论时间': '2024-02-07 12:05:08', 'IP属地': '河南', '评论内容': '本人开车100万公里的10多年的老司机，想给还没买车的朋友一些忠告，油车不费电，电车不费油，想省油就买电车，想省电就买油车'}
{'评论时间': '2024-02-07 11:20:41', 'IP属地': '河南', '评论内容': '不懂就问，是去武汉站着不动让你打嘛？还是互打？要是后者，我这拥有三十年雪仗经验的糙汉子可要报名了嗷。'}
{'评论时间': '2024-02-07 00:20:58', 'IP属地': '广东', '评论内容': '怎么又是湖北啊'}
{'评论时间': '2024-02-07 11:43:22', 'IP属地': '湖北', '评论内容': '这就是从一开始没有清理的原因'}
{'评论时间': '2024-02-07 18:04:22', 'IP属地': '山西', '评论内容': '普及冻雨区'}
{'评论时间': '2024-02-07 16:25:50', 'IP属地': '河南', '评论内容': '谢谢你给我科普了冻雨！'}
{'评论时间': '2024-02-07 19:07:51', 'IP属地': '广东', '评论内容': '为最美的湖北人点赞！'}
{'评论时间': '2024-02-07 09:34:22', 'IP属地': '广东', '评论内容': '我就是湖北的'}
{'评论时间': '2024-02-07 17:26:23', 'IP属地': '江苏', '评论内容': '保险公司都放假了'}
{'评论时间': '2024-02-07 11:55:33', 'IP属地': '湖北', '评论内容': '买了油电混合的，现在充一次电20-30可以跑好久，还是节约好多了，以前加油几天一加就是四五百'}
{'评论时间': '2024-02-07 23:12:38', 'IP属地': '山东', '评论内容': '南方毕竟第一次见这么大雪，在北方这很正常的，一些现象在北方冬天基本每天都见，我晚上不盖车衣，就算不下雪，早晨上班车玻璃上也一层冰，我能说昨晚下冻雨了嘛'}
{'评论时间': '2024-02-07 00:59:44', 'IP属地': '湖北', '评论内容': '无所叼为，反正19年也是这样骂湖北的，带头的就是河南'}
{'评论时间': '2024-02-07 11:35:08', 'IP属地': '北京', '评论内容': '但是电车真的省油啊'}
{'评论时间': '2024-02-07 03:02:52', 'IP属地': '新疆', '评论内容': '我在新疆生活几十年这就是没有及时清理压实的'}
{'评论时间': '2024-02-07 17:08:32', 'IP属地': '湖北', '评论内容': '老表们赶紧铲雪，再不铲雪，别人就要翻旧账了'}
{'评论时间': '2024-02-07 05:42:26', 'IP属地': '河北', '评论内容': '天气预报早就播了，为什么还出门'}
{'评论时间': '2024-02-07 15:25:25', 'IP属地': '云南', '评论内容': '这真是给我们东北人科普了'}
{'评论时间': '2024-02-07 12:56:07', 'IP属地': '江西', '评论内容': '没事，冬天过去了，电车车主又会硬气起来的'}
{'评论时间': '2024-02-07 14:35:25', 'IP属地': '广东', '评论内容': '广东什么时候下雪啊'}
{'评论时间': '2024-02-07 22:12:36', 'IP属地': '河南', '评论内容': '这不是车压过冻上了吗，还冻雨'}
{'评论时间': '2024-02-07 11:51:49', 'IP属地': '湖南', '评论内容': '买电车的上帝们，你们感觉如何啊'}
{'评论时间': '2024-02-07 19:26:18', 'IP属地': '江苏', '评论内容': '问了家里老人确实有冻雨'}
{'评论时间': '2024-02-07 18:31:49', 'IP属地': '湖北', '评论内容': '只希望这个视频能走出湖北'}
{'评论时间': '2024-02-07 15:36:46', 'IP属地': '辽宁', '评论内容': '这要是在东北 你这一桶水那就是雪上加霜'}
{'评论时间': '2024-02-07 13:59:56', 'IP属地': '河南', '评论内容': '给北方人科普起来了？'}
{'评论时间': '2024-02-07 10:49:23', 'IP属地': '江苏', '评论内容': '电车车主开始后悔没买油车'}
{'评论时间': '2024-02-07 09:05:41', 'IP属地': '湖北', '评论内容': '这表明电车比燃油车更省油'}
{'评论时间': '2024-02-07 10:54:56', 'IP属地': '广东', '评论内容': '电车好，棒棒哒！！！愿大家都平安到家，'}
{'评论时间': '2024-02-07 14:00:36', 'IP属地': '广东', '评论内容': '湖北加油！为老乡感到骄傲'}
{'评论时间': '2024-02-07 10:54:51', 'IP属地': '湖北', '评论内容': '车顶的建议你弄掉'}
{'评论时间': '2024-02-07 21:32:00', 'IP属地': '山东', '评论内容': '湖北加油'}
{'评论时间': '2024-02-07 01:46:05', 'IP属地': '陕西', '评论内容': '可是湖北武汉是英雄城市啊'}
{'评论时间': '2024-02-07 01:14:46', 'IP属地': '上海', '评论内容': '每一次湖北出圈当显眼包～都是砥砺前行～我大湖北好样的'}
{'评论时间': '2024-02-07 12:05:44', 'IP属地': '四川', '评论内容': '以前在湖北读书遇到下雨夹雪也炒鸡冷'}
{'评论时间': '2024-02-07 19:40:54', 'IP属地': '贵州', '评论内容': '湖北加油'}
{'评论时间': '2024-02-07 00:15:54', 'IP属地': '福建', '评论内容': '河南人与湖北兄弟们同在'}
{'评论时间': '2024-02-07 05:55:01', 'IP属地': '山东', '评论内容': '人傻没办法，跑长途开纯电的'}
{'评论时间': '2024-02-07 14:09:11', 'IP属地': '江西', '评论内容': '往北走超过500公里回家的别考虑电车了。'}
{'评论时间': '2024-02-07 16:35:44', 'IP属地': '广东', '评论内容': '好惨啊，湖北'}
{'评论时间': '2024-02-07 10:50:11', 'IP属地': '四川', '评论内容': '车顶一定要清理啊，要不然很危险啊'}
{'评论时间': '2024-02-07 09:31:17', 'IP属地': '贵州', '评论内容': '天王老子来了，也是电车最省油'}
{'评论时间': '2024-02-07 17:02:01', 'IP属地': '河南', '评论内容': '什么湖北有6公分的冰从天而降?'}
{'评论时间': '2024-02-07 12:22:56', 'IP属地': '湖南', '评论内容': '热干面加油！！！'}
{'评论时间': '2024-02-07 14:22:34', 'IP属地': '北京', '评论内容': '宝宝们，别骂了，咱们南北方差异，他们那里是先下的雨。冻住了，然后又下着雪。我们都是中国人，何必呢？难道都要去指责湖南湖北的人吗？同是中国人，是天灾哦，宝宝们，不要去指责他们了。希望他们可以快点度过这次难关哦。'}
{'评论时间': '2024-02-07 09:53:44', 'IP属地': 'IP未知', '评论内容': '什么冻雨啊'}
{'评论时间': '2024-02-07 05:03:56', 'IP属地': '广西', '评论内容': '就像老式冰箱除霜一样解压'}
{'评论时间': '2024-02-07 11:44:57', 'IP属地': '广东', '评论内容': '长途永远是油车YYDS！电车是市内通勤YYDS！所以，每家需要2辆车'}
{'评论时间': '2024-02-07 17:00:51', 'IP属地': '湖北', '评论内容': '我想问一下电车怎么样了'}
{'评论时间': '2024-02-07 15:42:41', 'IP属地': '浙江', '评论内容': '这不是冻雨，是雪压严实了，化了又冻了'}
{'评论时间': '2024-02-07 17:41:49', 'IP属地': '陕西', '评论内容': '去年武汉疫情，今年湖北下冰雨，愿湖北人民安康'}
{'评论时间': '2024-02-07 20:47:50', 'IP属地': '湖北', '评论内容': '看着评论区，我好伤心'}
{'评论时间': '2024-02-07 01:57:46', 'IP属地': '湖北', '评论内容': '真的不该指责我们鄂鄂，也不该指责湘湘，豫豫，我们都是中国人，都是一家人。我们应该指责的是曾经践踏我们祖国的日本鬼子，是惨无人道的731部队，更是现在为了挑拨为了遮掩731罪行的日本奸细。我们都是中国人，我们都是一家人，不怪天灾，我们会共渡难关'}
{'评论时间': '2024-02-07 15:09:18', 'IP属地': '湖北', '评论内容': '北极，下的就是冻雨'}
{'评论时间': '2024-02-07 18:20:23', 'IP属地': '湖北', '评论内容': '评论区的，如果你说视频里面的是雪压实了才变这样的，那湖北树上的冻雨下在地上也是雪压实形成的？'}
{'评论时间': '2024-02-07 20:53:49', 'IP属地': '湖北', '评论内容': '冻雨只针对高速'}
{'评论时间': '2024-02-07 11:34:49', 'IP属地': '辽宁', '评论内容': '昂，我一个东北的竟然看完了'}
{'评论时间': '2024-02-07 11:41:23', 'IP属地': '黑龙江', '评论内容': '我们下雪到了腰也这样，大雪封门也一样'}
{'评论时间': '2024-02-07 17:40:56', 'IP属地': '河南', '评论内容': '湖北加油'}
{'评论时间': '2024-02-07 18:10:17', 'IP属地': '广东', '评论内容': '不建议这样玩，因为我已经好多年没玩过了'}
{'评论时间': '2024-02-07 09:51:12', 'IP属地': '湖北', '评论内容': '保险公司经理已经哭晕在厕所里了'}
{'评论时间': '2024-02-07 13:02:31', 'IP属地': '湖南', '评论内容': '这是挖掘机？居然能除冻雨'}
{'评论时间': '2024-02-07 16:41:44', 'IP属地': '山东', '评论内容': '我就告诉你，在东北，水，雨，雪，雨夹雪，冻雨，雾霾，霜，冰，雹，大雪，特大雪，没有我们整不了的，唯一整不了的就是喷子'}
{'评论时间': '2024-02-07 12:48:18', 'IP属地': '上海', '评论内容': '不要辩解了，一路沪蓉高速回来只有湖北的高速有雪，湖北高速里只有武荆高速有雪，武荆高速只有荆门这段有雪。。。这是啥问题？宜昌下的就不是雪？不是冻雨了？   '}
{'评论时间': '2024-02-07 02:36:04', 'IP属地': '湖北', '评论内容': '真的不该指责我们鄂鄂，也不该指责湘湘，豫豫，我们都是中国人，都是一家人。我们应该指责的是曾经践踏我们祖国的日本鬼子，是惨无人道的731部队，更是现在为了挑拨为了遮掩731罪行的日本奸细。我们都是中国人，我们都是一家人，不怪天灾，我们会共渡难关'}
{'评论时间': '2024-02-07 06:39:57', 'IP属地': '山东', '评论内容': '雪压实了一模一样，就是不及时清理导致，这是我小区门口之前的'}
{'评论时间': '2024-02-07 14:58:12', 'IP属地': '重庆', '评论内容': '唉，早晓得就来湖北玩寒冰玄柱了，不用专门跑新疆那么远去'}
{'评论时间': '2024-02-07 04:14:57', 'IP属地': '河北', '评论内容': '一杀车，车顶上再送你一坨雪'}
{'评论时间': '2024-02-07 13:02:39', 'IP属地': '湖南', '评论内容': '你可以质疑爱情，友情，甚至亲情，不可以质疑政府的执行力度以及人民子弟兵的贡献，在你质疑政府质疑人民子弟兵的行动力的时候，你掂量掂量你有没有那个资格，能不能让14亿人民吃饱穿暖，要是没有还请闭上你的嘴巴，不要在这里站着说话不腰疼，叉着腰只知道在这里叭叭叭，你可以去搜一搜看湖南哪一个地区政府不是为这次暴雪做足了充分的准备，他们夜以继日的为人民修电路铲雪在这里得你这么一段话，要是真是像你说的，怎么你没有去政府寻个一官半职'}
{'评论时间': '2024-02-07 10:30:58', 'IP属地': '重庆', '评论内容': '最大的谎言就是被电车忽悠的团团转的人'}
{'评论时间': '2024-02-07 08:06:21', 'IP属地': '湖北', '评论内容': '记得有人说过武汉要是下雪他就舔着回去，现在怎么不吭声了'}
{'评论时间': '2024-02-07 11:38:03', 'IP属地': '浙江', '评论内容': '视频很下饭'}
{'评论时间': '2024-02-07 18:46:20', 'IP属地': '四川', '评论内容': '我舅舅一家还堵在湖北孝感'}
{'评论时间': '2024-02-07 16:52:44', 'IP属地': '北京', '评论内容': '你们什么懂不懂，这个冻雨只能特种职业，比如快递小哥才行'}
{'评论时间': '2024-02-07 20:13:34', 'IP属地': '上海', '评论内容': '有种考古出土文物的感觉'}
{'评论时间': '2024-02-07 14:44:51', 'IP属地': '广东', '评论内容': '南方的朋友，你们不会觉得我们北方人没遇到过你们这种情况吧'}
{'评论时间': '2024-02-07 06:14:12', 'IP属地': '江苏', '评论内容': '这情况也敢开电车出来，真是佩服'}
{'评论时间': '2024-02-07 13:46:55', 'IP属地': '广东', '评论内容': '看着冻手'}
{'评论时间': '2024-02-07 00:23:43', 'IP属地': '山东', '评论内容': '江南也不适合买电车啊'}
{'评论时间': '2024-02-07 10:17:17', 'IP属地': '江苏', '评论内容': '湖北加油'}
{'评论时间': '2024-02-07 15:36:21', 'IP属地': '广东', '评论内容': '好朋友，你玩完了吗，到了我吧'}
{'评论时间': '2024-02-07 15:26:06', 'IP属地': '河南', '评论内容': '容易宫寒，不建议'}
{'评论时间': '2024-02-07 06:40:55', 'IP属地': '云南', '评论内容': '如果不买车是不是不会堵高速路上了'}
{'评论时间': '2024-02-07 04:41:05', 'IP属地': '河南', '评论内容': '堵车时再冷的受不了，找个大货车北方牌照的，他们车上有柴暖，不需要打火就有暖气，但是需要汽油去供暖，谁的小车子能放汽油，放几升给他就行'}
{'评论时间': '2024-02-07 02:20:33', 'IP属地': '湖南', '评论内容': '电车还是好啊，省油'}
{'评论时间': '2024-02-07 09:15:17', 'IP属地': '吉林', '评论内容': '东北人的我会来一瓶防冻玻璃水'}
{'评论时间': '2024-02-07 21:32:53', 'IP属地': '重庆', '评论内容': '加油'}
{'评论时间': '2024-02-07 20:37:36', 'IP属地': '湖北', '评论内容': '作为湖北人我看的热泪盈眶'}
{'评论时间': '2024-02-07 13:59:49', 'IP属地': '四川', '评论内容': '这六公分的冰层从天而降的时候，得砸死多少人，太可怕了'}
{'评论时间': '2024-02-07 01:45:04', 'IP属地': '河南', '评论内容': '全中国人都看到了'}
{'评论时间': '2024-02-07 10:56:54', 'IP属地': '江苏', '评论内容': '我的第二故乡就是湖北武汉，当看到那里的冻雨把树都断的时候真的很揪心，后来又下雪，希望这些天湖北人民都好好的'}
{'评论时间': '2024-02-07 16:52:34', 'IP属地': '海南', '评论内容': '这湖北啊'}
{'评论时间': '2024-02-07 16:59:33', 'IP属地': '河南', '评论内容': '没清理就说没清理被 害隔着嗯这头怪骗 说你了就抓紧清理改正不好了 嘴真硬啊'}
{'评论时间': '2024-02-07 20:12:38', 'IP属地': '广东', '评论内容': '拿命打雪仗。太冒险了'}
{'评论时间': '2024-02-07 04:49:24', 'IP属地': '湖北', '评论内容': '你猜猜上次我朋友给了我一个很小的铲子 我铲了多久'}
{'评论时间': '2024-02-07 01:03:32', 'IP属地': '贵州', '评论内容': '这样情况保险公司是亏还是赚啊'}
{'评论时间': '2024-02-07 16:48:42', 'IP属地': '新疆', '评论内容': '叫湖北人出来说'}
{'评论时间': '2024-02-07 12:29:28', 'IP属地': '陕西', '评论内容': '陕西看到了！湖北，加油'}
{'评论时间': '2024-02-07 17:15:20', 'IP属地': '河南', '评论内容': '路过武汉记忆深刻'}
{'评论时间': '2024-02-07 06:47:59', 'IP属地': '浙江', '评论内容': '湖北加油'}
{'评论时间': '2024-02-07 10:43:40', 'IP属地': '四川', '评论内容': '看哭了，不知情请不要乱评论！理解万岁！为所有热心人点赞'}
{'评论时间': '2024-02-07 22:34:20', 'IP属地': '河北', '评论内容': '请问怎么才能设置不刷同一类型的视频'}
{'评论时间': '2024-02-07 12:58:22', 'IP属地': '广东', '评论内容': '市区代步上下班接小孩买电车，又想上下班接小孩或双休想去玩的还有偶尔跑跑高速的买油车'}
{'评论时间': '2024-02-07 14:55:55', 'IP属地': '湖北', '评论内容': '好了，经此一事，我呼吁湖北全省供暖'}
{'评论时间': '2024-02-07 16:59:51', 'IP属地': '广西', '评论内容': '保险公司要哭了。'}
{'评论时间': '2024-02-07 22:18:21', 'IP属地': '湖北', '评论内容': '真的在家都要冻死了，还总是停电，然后再被网上的一些人骂，湖北难受啊'}
{'评论时间': '2024-02-07 11:24:57', 'IP属地': '山西', '评论内容': '油车不启动会蒸发不'}
{'评论时间': '2024-02-07 05:15:55', 'IP属地': '四川', '评论内容': '恭喜电车'}
{'评论时间': '2024-02-07 09:02:29', 'IP属地': '湖北', '评论内容': '替湖北人武汉人感谢你们'}
{'评论时间': '2024-02-07 19:13:46', 'IP属地': '福建', '评论内容': '湖北人都是好心肠'}
{'评论时间': '2024-02-07 11:36:18', 'IP属地': '重庆', '评论内容': '我想知道他们下高速了吗？'}
{'评论时间': '2024-02-07 12:55:22', 'IP属地': '河北', '评论内容': '电车大雪天跑高速就是扯淡'}
{'评论时间': '2024-02-07 08:28:53', 'IP属地': '河南', '评论内容': '湖北加油！  网友们擦亮眼睛不要让有心之人得逞'}
{'评论时间': '2024-02-07 19:47:48', 'IP属地': '山东', '评论内容': '保险公司赔不'}
{'评论时间': '2024-02-07 10:14:25', 'IP属地': '安徽', '评论内容': '这么说吧 油车从开始到现在都没淘汰 电车才出来多少年 最早的是公交车出的电车 跑市区 减少排气为了防止污染空气 想法是好的  就现在看来 到处都是加油站 有充电站嘛 油电混动在我看来也就是小白鼠而已 油车不可能会被淘汰 我就买的油车 省心省事 能费几个钱'}
{'评论时间': '2024-02-07 10:12:22', 'IP属地': '重庆', '评论内容': '千万别看评论，好多开高速的老司机'}
{'评论时间': '2024-02-07 08:32:46', 'IP属地': '江苏', '评论内容': '电车弄个全身太阳能板，应该会好点'}
{'评论时间': '2024-02-07 23:47:24', 'IP属地': '河南', '评论内容': '希望大家都能善良，堵在路上的司机有情绪很正常，但网上的大家不该去骂湖北同胞，他们正在经历灾难！！！鄂鄂加油！'}
{'评论时间': '2024-02-07 18:02:17', 'IP属地': '河南', '评论内容': '保险公司赔？'}
{'评论时间': '2024-02-07 11:36:56', 'IP属地': '重庆', '评论内容': '油车还是稳一些'}
{'评论时间': '2024-02-07 08:41:29', 'IP属地': '江苏', '评论内容': '我为我之前的观念向湖北道歉'}
{'评论时间': '2024-02-07 00:22:33', 'IP属地': '吉林', '评论内容': '别清理了太难了真的太难了根本清理不了，等着高温吧'}
{'评论时间': '2024-02-07 11:49:50', 'IP属地': '天津', '评论内容': '电车要是这样会不会没电了'}
{'评论时间': '2024-02-07 11:18:54', 'IP属地': '河南', '评论内容': '冻雨暖人心'}
{'评论时间': '2024-02-07 00:39:21', 'IP属地': '湖北', '评论内容': '老表别发了，没用'}
