{'评论时间': '2024-02-02 19:58:28', 'IP属地': '湖北', '评论内容': '这里程表会显示多少码呢'}
{'评论时间': '2024-02-02 20:06:24', 'IP属地': '湖北', '评论内容': '油耗20L没走到半里路'}
{'评论时间': '2024-02-02 18:06:50', 'IP属地': '湖北', '评论内容': '不知这百公里多少升'}
{'评论时间': '2024-02-02 18:40:31', 'IP属地': '新疆', '评论内容': '为啥不换雪地胎？'}
{'评论时间': '2024-02-02 15:06:15', 'IP属地': '湖北', '评论内容': '警察不错'}
{'评论时间': '2024-02-02 21:18:05', 'IP属地': '福建', '评论内容': '直接挂前进档不用油门会不会好一点'}
{'评论时间': '2024-02-02 12:46:11', 'IP属地': '广东', '评论内容': '要下几天啊！五号回去要经过湖北'}
{'评论时间': '2024-02-02 13:39:33', 'IP属地': '湖北', '评论内容': '我是黄冈省湖北市的，我这边没下冻雨'}
{'评论时间': '2024-02-02 19:16:53', 'IP属地': '四川', '评论内容': '打滑成这样，推车还是费劲'}
{'评论时间': '2024-02-02 17:38:52', 'IP属地': '北京', '评论内容': '龟速行驶阻塞交通，还当着交警的面故意猛踩油空转不走，挑衅交警！'}
{'评论时间': '2024-02-02 17:25:46', 'IP属地': '广东', '评论内容': '这样开油耗多少'}
{'评论时间': '2024-02-02 22:12:56', 'IP属地': '河南', '评论内容': '该说不说，活了30多年这还是第一次听到冻雨这个词'}
{'评论时间': '2024-02-02 13:57:29', 'IP属地': '湖北', '评论内容': '这是湖北的冰翡翠，'}
{'评论时间': '2024-02-02 16:40:47', 'IP属地': '江苏', '评论内容': '百公里两箱油够不够？'}
{'评论时间': '2024-02-02 14:35:56', 'IP属地': '湖北', '评论内容': '摩擦摩擦，是魔鬼的步伐'}
{'评论时间': '2024-02-02 18:53:29', 'IP属地': '湖北', '评论内容': '这种情况就看轮胎的好坏了'}
{'评论时间': '2024-02-02 20:18:20', 'IP属地': '安徽', '评论内容': '百公里油耗1000'}
{'评论时间': '2024-02-02 19:32:09', 'IP属地': '河南', '评论内容': '先下雪再冻雨'}
{'评论时间': '2024-02-02 17:26:56', 'IP属地': '安徽', '评论内容': '这种路面我今天早上就让他d档自己制动慢慢走，也不踩油门。安全到达公司'}
{'评论时间': '2024-02-02 18:19:06', 'IP属地': '湖北', '评论内容': '湖北人高冷不是没原因滴'}
{'评论时间': '2024-02-02 18:39:59', 'IP属地': '湖北', '评论内容': '就这冰雪路面的开车技术，只能给个不及格了。'}
{'评论时间': '2024-02-02 15:56:03', 'IP属地': '湖北', '评论内容': '这就是湖北人的高冷'}
{'评论时间': '2024-02-02 22:40:30', 'IP属地': '广东', '评论内容': '这是不是湖北的特产'}
{'评论时间': '2024-02-02 18:50:40', 'IP属地': '湖南', '评论内容': '这个天气我走在大马路边上都怕，怕汽车打滑撞到我'}
{'评论时间': '2024-02-02 18:52:36', 'IP属地': '陕西', '评论内容': '整了半天原来全靠后面人推车'}
{'评论时间': '2024-02-02 23:19:27', 'IP属地': '湖北', '评论内容': '夏天来湖北感受南方的高温，冬天来湖北感受北方的寒冷'}
{'评论时间': '2024-02-02 15:23:21', 'IP属地': '安徽', '评论内容': '摩擦摩擦，魔鬼的步伐！'}
{'评论时间': '2024-02-02 21:08:32', 'IP属地': '湖北', '评论内容': '我不要嗯了，我要回家，太冷了'}
{'评论时间': '2024-02-02 19:42:43', 'IP属地': '湖南', '评论内容': '唉……本来这两天要回去的，看来还是要等几天才行啊，高速公路上堵车，路面结冰，车保养都做了，还是在家里呆几天晚点回去'}
{'评论时间': '2024-02-02 18:38:19', 'IP属地': '辽宁', '评论内容': '地板油起步吗？'}
{'评论时间': '2024-02-02 18:39:57', 'IP属地': '湖北', '评论内容': '云南人才来湖北三天。已经冻成傻子了。'}
{'评论时间': '2024-02-02 18:43:53', 'IP属地': '河南', '评论内容': '油门: 轻点踩 轻点踩 我他吗让你轻点踩'}
{'评论时间': '2024-02-02 15:38:55', 'IP属地': '湖北', '评论内容': '太冷了，一到家就脱了羽绒服'}
{'评论时间': '2024-02-02 19:13:58', 'IP属地': '湖北', '评论内容': '我都不敢走路啦！生怕自己会摔跤'}
{'评论时间': '2024-02-02 22:54:40', 'IP属地': '湖北', '评论内容': '湖北就是这么高冷'}
{'评论时间': '2024-02-02 17:22:01', 'IP属地': '甘肃', '评论内容': '这开车的是个棒槌'}
{'评论时间': '2024-02-02 17:27:11', 'IP属地': '上海', '评论内容': '是不是推车比较快一点'}
{'评论时间': '2024-02-02 22:38:17', 'IP属地': '湖南', '评论内容': '咱大湖南明天也要下冻雨'}
{'评论时间': '2024-02-02 16:23:41', 'IP属地': '上海', '评论内容': '他以为他踩油门有用，我也以为他踩油门有用，原来是后面有人在推'}
{'评论时间': '2024-02-02 20:00:31', 'IP属地': '河南', '评论内容': '专家提议取消结冰。'}
{'评论时间': '2024-02-02 18:30:38', 'IP属地': '湖北', '评论内容': '零公里耗油一箱'}
{'评论时间': '2024-02-02 18:42:43', 'IP属地': '山东', '评论内容': '新能源：此时你需要轮胎加热功能'}
{'评论时间': '2024-02-02 17:23:44', 'IP属地': '湖北', '评论内容': '结令令，猜湖北哪里的方言'}
{'评论时间': '2024-02-02 18:01:17', 'IP属地': '湖北', '评论内容': '作为一个南方人，第一次见识冻雨，08年那次都没遇到，这次在荆门遇到了，这个天气真不知道该怎么开车了，完全不听使唤'}
{'评论时间': '2024-02-02 14:05:23', 'IP属地': '湖北', '评论内容': '第一次看天气预报竟然有个看不懂的天气，还现去百度查了一下啥叫冻雨'}
{'评论时间': '2024-02-02 16:46:39', 'IP属地': '河南', '评论内容': '一公里50个油'}
{'评论时间': '2024-02-02 20:20:03', 'IP属地': '浙江', '评论内容': '前轱辘转，后轱辘不转斯密达'}
{'评论时间': '2024-02-02 15:00:47', 'IP属地': '湖北', '评论内容': '我一个每年开三个月雪地的人，回荆门老家看一堆南方人在这出主意上冻了怎么开车'}
{'评论时间': '2024-02-02 22:17:02', 'IP属地': '湖北', '评论内容': '武汉的冻雨'}
{'评论时间': '2024-02-02 17:01:00', 'IP属地': '湖北', '评论内容': '冻雨停电。让我提前下班了'}
{'评论时间': '2024-02-02 17:54:46', 'IP属地': '湖北', '评论内容': '交警不易'}
{'评论时间': '2024-02-02 18:45:30', 'IP属地': '河南', '评论内容': '这就是冬天耗油多的原因'}
{'评论时间': '2024-02-02 16:46:14', 'IP属地': '江苏', '评论内容': '交警看着比开车的还着急'}
{'评论时间': '2024-02-02 17:49:10', 'IP属地': '湖北', '评论内容': '这算不算湖北特色'}
{'评论时间': '2024-02-02 18:22:55', 'IP属地': '山东', '评论内容': '轮胎磨损严重，遇上雨雪天气很容易出现原地打滑和侧滑现象'}
{'评论时间': '2024-02-02 14:56:06', 'IP属地': '四川', '评论内容': '放点胎压，增大轮胎受力面积，慢给油，最起码能走'}
{'评论时间': '2024-02-02 16:39:56', 'IP属地': '湖北', '评论内容': '放气增加接触面，小油门:'}
{'评论时间': '2024-02-02 18:08:02', 'IP属地': '安徽', '评论内容': '挂档不要踩油门就能走了'}
{'评论时间': '2024-02-02 16:54:14', 'IP属地': '湖南', '评论内容': '一般这天气老司机都尽量不出门'}
{'评论时间': '2024-02-02 22:02:52', 'IP属地': '山东', '评论内容': '是不是没有卖防滑链的'}
{'评论时间': '2024-02-02 17:02:54', 'IP属地': '湖北', '评论内容': '摩擦摩擦，在光滑的地上摩擦，是魔鬼的步伐'}
{'评论时间': '2024-02-02 19:01:54', 'IP属地': '湖南', '评论内容': '让你买比亚迪四驱高配唐EV，你却看不上，现在就要你原地打滑'}
{'评论时间': '2024-02-02 23:36:24', 'IP属地': '湖北', '评论内容': '武汉今天的冻雨'}
{'评论时间': '2024-02-02 15:40:54', 'IP属地': '湖北', '评论内容': '为啥我大蕲春不下雪，回来一个多星期了，一点雪都没看到，光下雨，我好几年没看到雪了，'}
{'评论时间': '2024-02-02 17:54:12', 'IP属地': '湖北', '评论内容': '冬天就这样'}
{'评论时间': '2024-02-02 17:19:10', 'IP属地': '广东', '评论内容': '叫你买四驱的，你偏要买前驱'}
{'评论时间': '2024-02-02 15:18:34', 'IP属地': '湖北', '评论内容': '该给我们创了新词，冻雨'}
{'评论时间': '2024-02-02 19:50:53', 'IP属地': '湖北', '评论内容': '前些时看到一个博主说，武汉人不管看到什么惊讶啊高兴啊或生气，都是先骂一句再说'}
{'评论时间': '2024-02-02 17:48:16', 'IP属地': '山东', '评论内容': '这种路况我宁愿骑自行车出门 开车最危险了'}
{'评论时间': '2024-02-02 22:09:47', 'IP属地': '四川', '评论内容': '果然，什么哟，回家开车恼火咯'}
{'评论时间': '2024-02-02 19:49:35', 'IP属地': '湖北', '评论内容': '警察叔叔在后面推'}
{'评论时间': '2024-02-02 17:52:26', 'IP属地': '湖北', '评论内容': '我大荆门没得防滑链卖吗'}
{'评论时间': '2024-02-02 20:05:47', 'IP属地': '河北', '评论内容': '手比车新。越踩油门越不动 '}
{'评论时间': '2024-02-02 16:39:35', 'IP属地': '湖北', '评论内容': '路上结冰了，8驱都没用'}
{'评论时间': '2024-02-02 21:20:05', 'IP属地': '湖北', '评论内容': '为啥他后轱辘不转前轱辘转啊思密达'}
{'评论时间': '2024-02-02 18:27:37', 'IP属地': '江西', '评论内容': '一元一公里'}
{'评论时间': '2024-02-02 21:54:42', 'IP属地': '湖北', '评论内容': '要轻踩油门'}
{'评论时间': '2024-02-02 21:18:24', 'IP属地': '湖北', '评论内容': '湖南人比湖北人更怕冷'}
{'评论时间': '2024-02-02 20:12:49', 'IP属地': '河南', '评论内容': '油耗和里程对了3天帐都对不上'}
{'评论时间': '2024-02-02 12:18:19', 'IP属地': '上海', '评论内容': '哪天不下冻雨跟我说声，我好回湖北'}
{'评论时间': '2024-02-02 18:51:27', 'IP属地': '湖北', '评论内容': '这是冰雨，冷冷的冰雨在脸上胡乱的拍'}
{'评论时间': '2024-02-02 19:40:18', 'IP属地': '湖北', '评论内容': '这么冷都不下雪'}
{'评论时间': '2024-02-02 18:34:45', 'IP属地': '山东', '评论内容': '轮胎转的越快，摩擦力越小，越不走'}
{'评论时间': '2024-02-02 13:35:34', 'IP属地': '湖北', '评论内容': '下三天了，希望别在下了，太冷了'}
{'评论时间': '2024-02-02 22:35:28', 'IP属地': '湖北', '评论内容': '那年在高速上堵着，油耗没了'}
{'评论时间': '2024-02-02 13:25:54', 'IP属地': '湖南', '评论内容': '南方人嫁到湖南第一次知道有冻雨'}
{'评论时间': '2024-02-02 19:01:13', 'IP属地': '湖北', '评论内容': '大家有没有发现结冰都是在冬天，夏天没有出现过'}
{'评论时间': '2024-02-02 19:00:24', 'IP属地': '湖北', '评论内容': '直接在路上检测'}
{'评论时间': '2024-02-02 16:29:18', 'IP属地': '湖北', '评论内容': '湖北的特产'}
{'评论时间': '2024-02-02 18:24:23', 'IP属地': '陕西', '评论内容': '四驱小心翼翼，两驱油门到底'}
{'评论时间': '2024-02-02 13:38:20', 'IP属地': '浙江', '评论内容': '冷冷的冰雨胡乱的拍'}
{'评论时间': '2024-02-02 18:13:27', 'IP属地': '湖北', '评论内容': '二档起步可以'}
{'评论时间': '2024-02-02 16:23:28', 'IP属地': '湖北', '评论内容': '大哥你不知道后面交警给你拉住了吗这回把你抓住了吧'}
{'评论时间': '2024-02-02 18:19:26', 'IP属地': '湖北', '评论内容': '就说湖北高冷吧'}
{'评论时间': '2024-02-02 18:49:09', 'IP属地': '陕西', '评论内容': '昨天路过湖北，体验过了，雨刮器口都冻住了，害的我以为没玻璃水了'}
{'评论时间': '2024-02-02 18:43:59', 'IP属地': '重庆', '评论内容': '还好是前驱是后驱这样估计得上洋当了'}
{'评论时间': '2024-02-02 17:20:33', 'IP属地': '湖南', '评论内容': '这种天气，开五菱我都开着窗户笑的'}
{'评论时间': '2024-02-02 19:59:35', 'IP属地': '湖北', '评论内容': '刚收到推送，说一小时后下雪'}
{'评论时间': '2024-02-02 18:28:18', 'IP属地': '湖北', '评论内容': '我这里有湖北人说嗯的解密，第一个视频，不看悔终生'}
{'评论时间': '2024-02-02 23:15:43', 'IP属地': '湖北', '评论内容': '今天早上'}
{'评论时间': '2024-02-02 19:17:48', 'IP属地': '河南', '评论内容': '发动机和里程表还有轮胎对了一晚上账，都没明白'}
{'评论时间': '2024-02-02 22:22:21', 'IP属地': '湖北', '评论内容': '是说今天咋报的是冻雨'}
{'评论时间': '2024-02-02 19:23:30', 'IP属地': '四川', '评论内容': '交警叔叔，我最近吃的有点胖'}
{'评论时间': '2024-02-02 18:44:36', 'IP属地': '湖北', '评论内容': '不下雪，下雪子'}
{'评论时间': '2024-02-02 18:59:31', 'IP属地': '四川', '评论内容': '油门踩深了，气压太高了放点气'}
{'评论时间': '2024-02-02 19:52:19', 'IP属地': '河南', '评论内容': '防滑链都没有'}
{'评论时间': '2024-02-02 15:03:17', 'IP属地': '湖北', '评论内容': '他油门白哄了半天，关键还是蜀黍给他推走的'}
{'评论时间': '2024-02-02 22:43:48', 'IP属地': '湖北', '评论内容': '说个笑话，武汉这天气没暖气'}
{'评论时间': '2024-02-02 17:19:58', 'IP属地': '湖北', '评论内容': '湖北就不下雪，下冻雨，下的是雨，地上再结冰'}
{'评论时间': '2024-02-02 19:52:51', 'IP属地': '湖北', '评论内容': '后轱辘不转前轱辘转，斯密达。'}
{'评论时间': '2024-02-02 20:40:16', 'IP属地': '广东', '评论内容': '一公里油耗10块'}
{'评论时间': '2024-02-02 17:47:42', 'IP属地': '河北', '评论内容': '动了2米还是交警推得'}
{'评论时间': '2024-02-02 18:02:18', 'IP属地': '湖北', '评论内容': '刚刚暴雪跑了二百公里国道，高速封了毫无压力'}
{'评论时间': '2024-02-02 22:04:09', 'IP属地': '湖北', '评论内容': '怎么感觉冬天比夏天开的空调还凉快'}
{'评论时间': '2024-02-02 17:33:10', 'IP属地': '陕西', '评论内容': '那年在高速上堵着，油耗没了'}
{'评论时间': '2024-02-02 23:18:51', 'IP属地': '湖北', '评论内容': '08年去贵州遇到过冻雨，冷怕了，所以这种情况，我一天都没出被窝'}
{'评论时间': '2024-02-02 20:29:23', 'IP属地': '甘肃', '评论内容': '南方的吧 不会怠速起步 也可以蛇形走位啊'}
{'评论时间': '2024-02-02 18:05:34', 'IP属地': '湖北', '评论内容': '俺四驱海豹带itac，带雪地模式，这种路面能狂飙八十'}
{'评论时间': '2024-02-02 23:31:33', 'IP属地': '湖北', '评论内容': '关键在湖北没有暖气，等着抖腿吧。'}
{'评论时间': '2024-02-02 22:16:21', 'IP属地': '广东', '评论内容': '里程表跟油耗对了一晚上的账'}
{'评论时间': '2024-02-02 18:13:13', 'IP属地': '江苏', '评论内容': '是不是应该低档轻踩油门'}
{'评论时间': '2024-02-02 21:58:48', 'IP属地': '浙江', '评论内容': '应该是刘德华的 冰雨'}
{'评论时间': '2024-02-02 13:16:07', 'IP属地': '湖北', '评论内容': '就是不下雪'}
{'评论时间': '2024-02-02 21:17:42', 'IP属地': '湖北', '评论内容': '我们小区出门有个坡，今天看到也是一个前驱的suv上不了，我就知道荆门更难'}
{'评论时间': '2024-02-02 14:48:15', 'IP属地': '湖北', '评论内容': '后面还有一个推车的！'}
{'评论时间': '2024-02-02 15:38:08', 'IP属地': '湖北', '评论内容': '外面已经这样了吗？我一直以为只是下雪了 怀孕33周的孕妇在家两耳不闻窗外事'}
{'评论时间': '2024-02-02 15:03:41', 'IP属地': '湖北', '评论内容': '下雪的千篇一律，下冻雨的才是万里挑一'}
{'评论时间': '2024-02-02 18:37:14', 'IP属地': '湖北', '评论内容': '这叫冻雨'}
{'评论时间': '2024-02-02 23:14:22', 'IP属地': '湖北', '评论内容': '前轱辘转后轱辘不转斯密哒'}
{'评论时间': '2024-02-02 18:49:42', 'IP属地': '广东', '评论内容': '放放轮胎气不好吗'}
{'评论时间': '2024-02-02 15:23:04', 'IP属地': '湖北', '评论内容': '就不下雪'}
{'评论时间': '2024-02-02 19:03:39', 'IP属地': '湖北', '评论内容': '还好昨天到家了没有说歇一晚上，不然的话还要到高速上待几天？'}
{'评论时间': '2024-02-02 17:03:14', 'IP属地': '湖北', '评论内容': '加着最大的油门，却跑出蜗牛🐌般的速度'}
{'评论时间': '2024-02-02 21:57:05', 'IP属地': '湖北', '评论内容': '一额:吃惊，冻雨，完蛋，冷死人我还:我还穿的很少的衣服，很烦，突然冷那:真烦啊，这傻逼天气还要上班'}
{'评论时间': '2024-02-02 23:50:06', 'IP属地': '湖北', '评论内容': '蕲春没下冻雨'}
{'评论时间': '2024-02-02 17:47:25', 'IP属地': '湖南', '评论内容': '交警走路都比他快'}
{'评论时间': '2024-02-02 21:24:29', 'IP属地': '河南', '评论内容': '没四驱不要出门'}
{'评论时间': '2024-02-02 17:53:11', 'IP属地': '湖北', '评论内容': '下班我在回家的路上，捏树上的叶子玩'}
{'评论时间': '2024-02-02 16:47:18', 'IP属地': '河南', '评论内容': '降下胎压油门别jb猛踩，实在不行防滑链也不多贵'}
{'评论时间': '2024-02-02 18:21:21', 'IP属地': '安徽', '评论内容': '哥们实在不行去旁边的茶店，喝一杯茶，暖暖身子，车轱辘都转冒烟了'}
{'评论时间': '2024-02-02 14:41:16', 'IP属地': '湖北', '评论内容': '结冰了吗'}
{'评论时间': '2024-02-02 18:42:16', 'IP属地': '新疆', '评论内容': '这会不会涨公里数'}
{'评论时间': '2024-02-02 17:41:00', 'IP属地': '安徽', '评论内容': '油门加大'}
{'评论时间': '2024-02-02 19:30:52', 'IP属地': '山东', '评论内容': '五菱神车出战，二档起步，来个大点的坡'}
{'评论时间': '2024-02-02 17:23:24', 'IP属地': '湖北', '评论内容': '油门踩死，一测时速5'}
{'评论时间': '2024-02-02 13:16:52', 'IP属地': '湖南', '评论内容': '明天即将到湖南'}
{'评论时间': '2024-02-02 18:18:21', 'IP属地': '广东', '评论内容': '都这样了还要开车出去'}
{'评论时间': '2024-02-02 18:54:14', 'IP属地': '广西', '评论内容': '难怪冬天油耗比夏天开空调还高'}
{'评论时间': '2024-02-02 17:42:12', 'IP属地': '湖北', '评论内容': '08年江西冻雨比这个大多了，街上树枝都压断了，冰坨子裹的比这个还厚重'}
{'评论时间': '2024-02-02 20:08:41', 'IP属地': '广东', '评论内容': '前看没轱辘，后看没轱辘，翻过来一看是爬犁'}
{'评论时间': '2024-02-02 19:19:09', 'IP属地': '山西', '评论内容': '我以为是车子自己在挪，没想到最后是交警推的'}
{'评论时间': '2024-02-02 18:49:42', 'IP属地': '宁夏', '评论内容': '油箱和里程表对了一夜账'}
{'评论时间': '2024-02-02 22:12:22', 'IP属地': '广东', '评论内容': '冷冷的冰雨'}
{'评论时间': '2024-02-02 19:29:02', 'IP属地': '河北', '评论内容': '一开始以为是车自己上去的。结果才发现有交警推'}
{'评论时间': '2024-02-02 19:33:19', 'IP属地': '湖北', '评论内容': '雪地胎这样跑都没效果'}
{'评论时间': '2024-02-02 18:23:54', 'IP属地': '湖北', '评论内容': '百公里120个油'}
{'评论时间': '2024-02-02 20:28:30', 'IP属地': '湖北', '评论内容': '你要让本地人用纯武汉话讲 那完全不能播出来'}
{'评论时间': '2024-02-02 16:49:34', 'IP属地': '湖北', '评论内容': '不是有冻雨么，还要什么雪？'}
{'评论时间': '2024-02-02 13:16:53', 'IP属地': '湖北', '评论内容': '坐标湖北，冻雨加雪，下面一层冻雨，上面一层雪，这雪就不指望它化了'}
{'评论时间': '2024-02-02 22:07:39', 'IP属地': '湖北', '评论内容': '一公里油耗的一百升'}
{'评论时间': '2024-02-02 18:54:49', 'IP属地': '江苏', '评论内容': '我以为车车虽然打滑，至少还能走，直到后面的交警露头了。'}
{'评论时间': '2024-02-02 21:27:04', 'IP属地': '河南', '评论内容': '轮胎和油箱对了一晚上的账都没对一起'}
{'评论时间': '2024-02-02 18:29:52', 'IP属地': '浙江', '评论内容': '🌧寒，寒不过人心，只要心是暖的，冻雨又🈶何惧'}
{'评论时间': '2024-02-02 15:23:10', 'IP属地': '浙江', '评论内容': '油门小点点'}
{'评论时间': '2024-02-02 23:35:05', 'IP属地': '湖北', '评论内容': '冻雨'}
{'评论时间': '2024-02-02 21:16:56', 'IP属地': '湖北', '评论内容': '这种的一看就是实习期还没过的，下雪天就你这样踩油门，别说上坡了，平路你都得打滑'}
{'评论时间': '2024-02-02 18:52:53', 'IP属地': '河南', '评论内容': '油门不能小点吗'}
{'评论时间': '2024-02-02 17:48:40', 'IP属地': '陕西', '评论内容': '一公里用了一箱油'}
{'评论时间': '2024-02-02 22:01:43', 'IP属地': '湖南', '评论内容': '跑完一箱油表显六百公里，导航显示实际十公里'}
{'评论时间': '2024-02-02 22:11:07', 'IP属地': '湖北', '评论内容': '幸好昨天连夜赶回来，不然就会留在武汉啦'}
{'评论时间': '2024-02-02 17:28:03', 'IP属地': '内蒙古', '评论内容': '油表和里程表对了一晚上账'}
{'评论时间': '2024-02-02 17:01:49', 'IP属地': '陕西', '评论内容': '晚上回家里程表和油箱发现对账对不上了'}
{'评论时间': '2024-02-02 17:46:24', 'IP属地': '北京', '评论内容': '挂个二挡，轻点油门，可能早就走了'}
{'评论时间': '2024-02-02 23:34:33', 'IP属地': '湖北', '评论内容': '这下不杠了！湖北冷不冷！'}
{'评论时间': '2024-02-02 20:09:20', 'IP属地': '湖北', '评论内容': '油门小了！踩到底！'}
{'评论时间': '2024-02-02 12:25:18', 'IP属地': '广东', '评论内容': '这冻雨不一般啊！你九阴白骨爪，都扣不动'}
{'评论时间': '2024-02-02 18:58:04', 'IP属地': '新疆', '评论内容': '松开刹车，靠怠速起步然后慢慢给油'}
{'评论时间': '2024-02-02 19:41:41', 'IP属地': '北京', '评论内容': '百升每公里'}
{'评论时间': '2024-02-02 16:36:31', 'IP属地': '湖北', '评论内容': '总所周知刘德华以前生活在湖北，他有句歌词：冷冷的冰雨在脸上胡乱的拍'}
{'评论时间': '2024-02-02 18:54:25', 'IP属地': '湖北', '评论内容': '就这天气，我们还是硬抗'}
