{'评论时间': '2024-02-09 17:01:39', 'IP属地': '安徽', '评论内容': '感动了'}
{'评论时间': '2024-02-09 12:47:51', 'IP属地': '江西', '评论内容': '就没人注意进度条吗'}
{'评论时间': '2024-02-09 13:41:37', 'IP属地': '山西', '评论内容': '五十多了没有见过。'}
{'评论时间': '2024-02-09 23:45:19', 'IP属地': '重庆', '评论内容': '我亲眼见过电车跑了100公里，从370掉到140的'}
{'评论时间': '2024-02-09 09:39:56', 'IP属地': '内蒙古', '评论内容': '这个年，这是最暖心的一幕'}
{'评论时间': '2024-02-09 14:17:07', 'IP属地': '湖北', '评论内容': '不解释了，就一个字:嗯'}
{'评论时间': '2024-02-09 09:50:37', 'IP属地': '江苏', '评论内容': '是否有预案：比如提前撒盐。是否有应对方案'}
{'评论时间': '2024-02-09 12:30:37', 'IP属地': '湖北', '评论内容': '双向奔赴，焊丝焊丝。捡我捡我'}
{'评论时间': '2024-02-09 07:12:03', 'IP属地': '湖北', '评论内容': '24年第一奇闻热搜，南方人给北方人科普什么是冻雨'}
{'评论时间': '2024-02-09 21:42:52', 'IP属地': '湖北', '评论内容': '冻雨很难除，锄头挖不动，太硬'}
{'评论时间': '2024-02-09 09:32:31', 'IP属地': '浙江', '评论内容': '浙江人，从小到大没看到过'}
{'评论时间': '2024-02-09 11:06:09', 'IP属地': '广东', '评论内容': '没有回去，只能看这视频'}
{'评论时间': '2024-02-09 00:31:40', 'IP属地': '辽宁', '评论内容': '哈哈哈，一群没经验多互掐，新年好。'}
{'评论时间': '2024-02-09 01:56:18', 'IP属地': '云南', '评论内容': '我笑了'}
{'评论时间': '2024-02-09 22:41:15', 'IP属地': '山东', '评论内容': '值得全湖北人学习。'}
{'评论时间': '2024-02-09 01:40:33', 'IP属地': '湖北', '评论内容': '哪里有雪'}
{'评论时间': '2024-02-09 07:44:33', 'IP属地': '贵州', '评论内容': '我在家里了'}
{'评论时间': '2024-02-09 00:31:31', 'IP属地': '湖北', '评论内容': '我最爱的橘子树没了'}
{'评论时间': '2024-02-09 04:40:17', 'IP属地': '山东', '评论内容': '北方人都了解'}
{'评论时间': '2024-02-09 08:35:48', 'IP属地': '河南', '评论内容': '我看完了，挺好玩'}
{'评论时间': '2024-02-09 11:27:09', 'IP属地': '湖北', '评论内容': '我是湖北宜昌的半夜3点不到，环卫工作人员和很多单位工作人员连夜铲雪，几个小时交通就畅通无阻了，为宜昌政府点赞'}
{'评论时间': '2024-02-09 01:00:59', 'IP属地': '湖北', '评论内容': '我是一名许广高速的工作人员，这一次的雪真的太恐怖了，水滴在地上就结冰，撒盐都没用，只能机械铲完人工上场铲，我昨天刚从路上下来，看到大家在车上饿的样子真的很难过，我们单位安排送了40箱泡面，看大家吃东西的样子我真的很高兴。想对滞留在高速公路上的您们说一声：对不起，让您们受困了。对不起，耽误您的回家路了。谢谢您，您的理解是我们继续前行的动力。'}
{'评论时间': '2024-02-09 22:54:18', 'IP属地': '湖北', '评论内容': '笑死'}
{'评论时间': '2024-02-09 10:04:44', 'IP属地': '四川', '评论内容': '比喻的很形象，真的就是长辈对晚辈的爱'}
{'评论时间': '2024-02-09 08:19:18', 'IP属地': '山东', '评论内容': '我们山东叫雨夹雪'}
{'评论时间': '2024-02-09 18:35:54', 'IP属地': '陕西', '评论内容': '给车前后挡风盖个破布就行了'}
{'评论时间': '2024-02-09 18:14:03', 'IP属地': '河北', '评论内容': '真隐藏了'}
{'评论时间': '2024-02-09 13:20:41', 'IP属地': '河南', '评论内容': '这样的地面场景在北方太多了。只能说南方人缺少这方面的行路经验'}
{'评论时间': '2024-02-09 13:45:58', 'IP属地': '山西', '评论内容': '警察叔叔摔那，我不厚道的笑了'}
{'评论时间': '2024-02-09 00:15:11', 'IP属地': '江苏', '评论内容': '不好意思我让警察蜀黍摔了好几次'}
{'评论时间': '2024-02-09 15:02:46', 'IP属地': '湖北', '评论内容': '湖坐标北咸宁'}
{'评论时间': '2024-02-09 10:59:49', 'IP属地': '湖北', '评论内容': '多一些理解和包容，世界更美好！'}
{'评论时间': '2024-02-09 20:15:31', 'IP属地': '湖北', '评论内容': '6'}
{'评论时间': '2024-02-09 15:22:33', 'IP属地': '河南', '评论内容': '我们村的路上，现在都出太阳了，十多度的气温'}
{'评论时间': '2024-02-09 09:55:19', 'IP属地': '河北', '评论内容': '你别把手冻上'}
{'评论时间': '2024-02-09 07:13:24', 'IP属地': '山东', '评论内容': '冻雨我们这早下了，但是没有武汉的大'}
{'评论时间': '2024-02-09 00:20:58', 'IP属地': '新疆', '评论内容': '河南在努力铲雪，湖北在努力科普冻雨'}
{'评论时间': '2024-02-09 13:22:48', 'IP属地': '广东', '评论内容': '祝大家新年快乐，祝大家平平安安，健健康康'}
{'评论时间': '2024-02-09 16:28:18', 'IP属地': '江西', '评论内容': '天气问题，为啥能怪到人和省份身上？'}
{'评论时间': '2024-02-09 15:41:57', 'IP属地': '辽宁', '评论内容': '葫芦娃行为'}
{'评论时间': '2024-02-09 06:57:21', 'IP属地': '山东', '评论内容': '车玻璃上缺失不能撒盐🧂'}
{'评论时间': '2024-02-09 00:38:50', 'IP属地': '湖北', '评论内容': '表，怎么不提前撒盐，不一边下一边清理，车子都压实了都懒得管'}
{'评论时间': '2024-02-09 08:57:25', 'IP属地': '安徽', '评论内容': '他们吃饱了撑的没事干'}
{'评论时间': '2024-02-09 02:28:34', 'IP属地': '重庆', '评论内容': '没经验，但也确实反应慢了'}
{'评论时间': '2024-02-09 01:55:50', 'IP属地': '浙江', '评论内容': '南方人，欸嘿嘿好玩'}
{'评论时间': '2024-02-09 15:55:04', 'IP属地': '辽宁', '评论内容': '我发现中国人骨子里就是一家人'}
{'评论时间': '2024-02-09 01:42:06', 'IP属地': '安徽', '评论内容': '我一直没骂过，因为我是安徽人'}
{'评论时间': '2024-02-09 18:18:43', 'IP属地': '广东', '评论内容': '真不容易啊'}
{'评论时间': '2024-02-09 08:43:18', 'IP属地': '四川', '评论内容': '是我老家没错'}
{'评论时间': '2024-02-09 15:05:04', 'IP属地': '西藏', '评论内容': '反人类设计'}
{'评论时间': '2024-02-09 23:53:03', 'IP属地': '湖南', '评论内容': '比亚迪的汉'}
{'评论时间': '2024-02-09 15:59:13', 'IP属地': '浙江', '评论内容': '虽然但是'}
{'评论时间': '2024-02-09 08:00:11', 'IP属地': '内蒙古', '评论内容': '大哥，你开着AC加热'}
{'评论时间': '2024-02-09 17:09:45', 'IP属地': '广东', '评论内容': '顺利拿到三个人头'}
{'评论时间': '2024-02-09 00:19:32', 'IP属地': '贵州', '评论内容': '喷子特别的多！好多在骂湖北的！骂湖北的人简直就是混账！'}
{'评论时间': '2024-02-09 22:18:30', 'IP属地': '河南', '评论内容': '大雪不都这样吗'}
{'评论时间': '2024-02-09 17:23:20', 'IP属地': '广西', '评论内容': '中国最美好的记忆！'}
{'评论时间': '2024-02-09 08:45:00', 'IP属地': '吉林', '评论内容': '牛🐮'}
{'评论时间': '2024-02-09 12:34:38', 'IP属地': '湖南', '评论内容': '不准骂我老表！'}
{'评论时间': '2024-02-09 16:07:22', 'IP属地': '黑龙江', '评论内容': '浇热水'}
{'评论时间': '2024-02-09 17:36:55', 'IP属地': '山西', '评论内容': '能告诉我怎么防护吗'}
{'评论时间': '2024-02-09 02:02:29', 'IP属地': '福建', '评论内容': '一生要强的北方人'}
{'评论时间': '2024-02-09 02:54:39', 'IP属地': '河南', '评论内容': '这是为了卖货的'}
{'评论时间': '2024-02-09 15:51:58', 'IP属地': '贵州', '评论内容': '这个冻雨，可能贵州人才能真正的知道它有多严重。'}
{'评论时间': '2024-02-09 08:26:38', 'IP属地': '韩国', '评论内容': '一下子砸到脚脖子那里的厚度 按照万有引力 湖北应该没有能站着的人'}
{'评论时间': '2024-02-09 00:30:23', 'IP属地': '湖北', '评论内容': '湖北到了三月底就会变成夏天'}
{'评论时间': '2024-02-09 23:00:44', 'IP属地': '云南', '评论内容': '你这车适合中午开，中午热，早晚气温低'}
{'评论时间': '2024-02-09 03:15:48', 'IP属地': '河南', '评论内容': '大家最初关注的焦点是高速路，并不是市内的绿化'}
{'评论时间': '2024-02-09 23:07:12', 'IP属地': '贵州', '评论内容': '电动车司机 说   你们三个是来 救我的呢  还是来陪摔跤丫  '}
{'评论时间': '2024-02-09 09:49:40', 'IP属地': '广西', '评论内容': '鸡肋骨啊，好看不好吃'}
{'评论时间': '2024-02-09 00:18:49', 'IP属地': '河南', '评论内容': '那个，，，手机支架有链接么'}
{'评论时间': '2024-02-09 00:01:23', 'IP属地': '北京', '评论内容': '嗯嗯嗯，当我的认知超过别人，一般我都会选择闭嘴'}
{'评论时间': '2024-02-09 14:15:25', 'IP属地': '海南', '评论内容': '网上不经事的人，不要张嘴就是结论了'}
{'评论时间': '2024-02-09 01:25:30', 'IP属地': '吉林', '评论内容': '邻居说：为何不边下边撒盐'}
{'评论时间': '2024-02-09 00:28:07', 'IP属地': '广东', '评论内容': '不好意思忍不住了'}
{'评论时间': '2024-02-09 22:15:20', 'IP属地': '四川', '评论内容': '湖北加油'}
{'评论时间': '2024-02-09 12:01:03', 'IP属地': '江苏', '评论内容': '等结冰了再开雨刮器'}
{'评论时间': '2024-02-09 01:42:07', 'IP属地': '重庆', '评论内容': '雨刮器不弄出来，下个雨，起个雾你就惨了'}
{'评论时间': '2024-02-09 23:26:49', 'IP属地': '江西', '评论内容': '可以撒一泡尿去。这样可以缓解。'}
{'评论时间': '2024-02-09 01:13:25', 'IP属地': '湖北', '评论内容': '比我厉害耶，我不服'}
{'评论时间': '2024-02-09 08:10:03', 'IP属地': '重庆', '评论内容': '湖北人真的很节约'}
{'评论时间': '2024-02-09 04:42:29', 'IP属地': '湖北', '评论内容': '大家 伙们，真正想回家过年不是搁网上骂街，而是另寻出入，大家不用担心，我好人做到底，给大家指条明路，图放下面了。自行了解，希望对大家有帮助'}
{'评论时间': '2024-02-09 11:04:21', 'IP属地': '吉林', '评论内容': '东北的初冬和冬天要结束的时候，这种天气经常有'}
{'评论时间': '2024-02-09 04:25:48', 'IP属地': '辽宁', '评论内容': '为什么看哭了'}
{'评论时间': '2024-02-09 20:40:24', 'IP属地': '湖北', '评论内容': '冻雨主要发生在南方地区，贵州冻雨最多，具体原因自己百度，高中地理课有讲解过冻雨是什么，喷子和吹牛逼的直接拉黑，让你对空气吹。不要被私密号带节奏'}
{'评论时间': '2024-02-09 08:59:31', 'IP属地': '湖北', '评论内容': '要一边下一边摇，你怎么现在才摇，一点准备都没有'}
{'评论时间': '2024-02-09 07:29:31', 'IP属地': '湖北', '评论内容': '视频传到哪里了？'}
{'评论时间': '2024-02-09 17:43:23', 'IP属地': '贵州', '评论内容': '帽子：我既然被警察叔叔踢了'}
{'评论时间': '2024-02-09 13:46:21', 'IP属地': '广东', '评论内容': '全垒打'}
{'评论时间': '2024-02-09 07:33:32', 'IP属地': '陕西', '评论内容': '这不是压的我不信'}
{'评论时间': '2024-02-09 06:00:20', 'IP属地': '河北', '评论内容': '冻雨是什么'}
{'评论时间': '2024-02-09 01:54:13', 'IP属地': '湖北', '评论内容': '很多东北ip说湖北人嘴硬'}
{'评论时间': '2024-02-09 11:07:20', 'IP属地': '辽宁', '评论内容': '百分之百的省油了'}
{'评论时间': '2024-02-09 12:49:59', 'IP属地': '江苏', '评论内容': '宜昌是湖北的吗？是不是没下冻雨'}
{'评论时间': '2024-02-09 21:18:22', 'IP属地': '江苏', '评论内容': '交警叔叔太辛苦了'}
{'评论时间': '2024-02-09 08:32:31', 'IP属地': '山东', '评论内容': '山东人民表示没见过这么厚的冰，这是去年冻得吧'}
{'评论时间': '2024-02-09 00:54:16', 'IP属地': '云南', '评论内容': '原谅我不厚道的笑了'}
{'评论时间': '2024-02-09 10:16:58', 'IP属地': '四川', '评论内容': '太难了'}
{'评论时间': '2024-02-09 11:06:58', 'IP属地': '河南', '评论内容': '刚刚刷到湖北河南冻雨交界'}
{'评论时间': '2024-02-09 14:47:02', 'IP属地': '湖北', '评论内容': '收到了，可是以晒化了'}
{'评论时间': '2024-02-09 08:34:12', 'IP属地': '广东', '评论内容': '真漂亮'}
{'评论时间': '2024-02-09 22:06:15', 'IP属地': '山东', '评论内容': '谢谢你让我知道了什么叫冰雨'}
{'评论时间': '2024-02-09 00:10:18', 'IP属地': '山西', '评论内容': '山西看到了'}
{'评论时间': '2024-02-09 07:40:34', 'IP属地': '河南', '评论内容': '这是车压的啊'}
{'评论时间': '2024-02-09 20:31:50', 'IP属地': '江苏', '评论内容': '我来大姨妈了，等过几天，血都流到脚跟了，才想起来得弄个姨妈巾，最后我总结，带血的内裤真难洗。最后我还得跟所有人都科普，怎么洗带血的内裤'}
{'评论时间': '2024-02-09 00:09:04', 'IP属地': '广东', '评论内容': '河南本身就是北方常年冬雪有何奇怪？？？季节气候就摆在那里还和南方比，比什么，比你们常年下雪有经验，难道不是正常的么？年年冻雪，如果没有经验你们如何居住如何生活？'}
{'评论时间': '2024-02-09 00:40:13', 'IP属地': '河南', '评论内容': '挖机居然是轮胎'}
{'评论时间': '2024-02-09 08:04:24', 'IP属地': '浙江', '评论内容': '现在清理和刚开始下雪清理是不一样的，公路没起到畅通作用，给人造成了困难，增加清理费用，'}
{'评论时间': '2024-02-09 12:58:01', 'IP属地': '福建', '评论内容': '好惨'}
{'评论时间': '2024-02-09 10:40:46', 'IP属地': '吉林', '评论内容': '1v3'}
{'评论时间': '2024-02-09 03:40:54', 'IP属地': '河南', '评论内容': '过年了 新年快乐  歇歇吧  快乐'}
{'评论时间': '2024-02-09 03:32:34', 'IP属地': '广东', '评论内容': '天灾见不了团结，但能见人心'}
{'评论时间': '2024-02-09 06:44:25', 'IP属地': '北京', '评论内容': '冷冷的冰雨。。。'}
{'评论时间': '2024-02-09 13:37:23', 'IP属地': '湖北', '评论内容': '市中心的桥，我们区内自己吐槽就行了，外省人别参与 借机会喷'}
{'评论时间': '2024-02-09 14:29:17', 'IP属地': '吉林', '评论内容': '我是没见过冻雨'}
{'评论时间': '2024-02-09 16:20:18', 'IP属地': '河南', '评论内容': '没有现代化设备没有办法'}
{'评论时间': '2024-02-09 08:21:54', 'IP属地': '海南', '评论内容': '我感恩了'}
{'评论时间': '2024-02-09 07:31:02', 'IP属地': '广东', '评论内容': '谢谢工作人员'}
{'评论时间': '2024-02-09 00:00:58', 'IP属地': '辽宁', '评论内容': '错了就错了，还狡辩，有意义吗？有这功夫，拿起尖锹除雪去'}
{'评论时间': '2024-02-09 11:35:00', 'IP属地': '广西', '评论内容': '不好意思'}
{'评论时间': '2024-02-09 17:14:42', 'IP属地': '湖南', '评论内容': '我是湖北人，感动'}
{'评论时间': '2024-02-09 06:43:15', 'IP属地': '江苏', '评论内容': '发现了一个新商机，充电式吹风机'}
{'评论时间': '2024-02-09 20:19:52', 'IP属地': '江西', '评论内容': '加油加油加油加油加油加油加油加油加油加油加油'}
{'评论时间': '2024-02-09 09:42:54', 'IP属地': '江苏', '评论内容': '不要再普及什么是冻雨了，全国也就湖北下过'}
{'评论时间': '2024-02-09 01:05:33', 'IP属地': '山东', '评论内容': '湖北人感恩的'}
