{'评论时间': '2024-02-03 22:47:23', 'IP属地': '湖北', '评论内容': '谁懂啊，东西湖又又又下冻雨了。'}
{'评论时间': '2024-02-03 18:24:42', 'IP属地': '湖北', '评论内容': '不可能的吧，我这最近比武汉不冷多了，咋没冻住'}
{'评论时间': '2024-02-03 22:12:03', 'IP属地': '湖北', '评论内容': '荆州'}
{'评论时间': '2024-02-03 20:55:08', 'IP属地': '湖北', '评论内容': '今天出门都是带一杯热水'}
{'评论时间': '2024-02-03 20:18:06', 'IP属地': '河南', '评论内容': '感觉都是新能源把手设计成这样'}
{'评论时间': '2024-02-03 14:19:55', 'IP属地': '湖北', '评论内容': '湖北雪真的下的很大，还有冻雨，耐心等待'}
{'评论时间': '2024-02-03 22:55:05', 'IP属地': '湖北', '评论内容': '这是老天帮忙把这些人留下搞GDP湖北太难了'}
{'评论时间': '2024-02-03 22:33:04', 'IP属地': '陕西', '评论内容': '反人类设计'}
{'评论时间': '2024-02-03 10:41:25', 'IP属地': '湖北', '评论内容': '都冻成这样了，还不下雪，湖北高冷'}
{'评论时间': '2024-02-03 19:09:58', 'IP属地': '湖北', '评论内容': '折叠后视镜打不开更难搞'}
{'评论时间': '2024-02-03 10:04:15', 'IP属地': '贵州', '评论内容': '这也是黔东南地区下雪基操，连水管都冻上'}
{'评论时间': '2024-02-03 14:32:46', 'IP属地': '湖北', '评论内容': '前，前轱辘不转后轱辘转，思密达'}
{'评论时间': '2024-02-03 08:33:44', 'IP属地': '湖北', '评论内容': '这次知道了吧 湖北不光有嗯还有冻雨'}
{'评论时间': '2024-02-03 11:29:59', 'IP属地': '湖北', '评论内容': '山西大同人受不了湖北的冷了'}
{'评论时间': '2024-02-03 10:56:02', 'IP属地': '湖北', '评论内容': '怎么样你们有冻梨我们有冻雨，雪还下的一粒粒的跟放鞭炮似的很热情吧'}
{'评论时间': '2024-02-03 19:09:42', 'IP属地': '河南', '评论内容': '反人类设计'}
{'评论时间': '2024-02-03 16:25:39', 'IP属地': '上海', '评论内容': '这才是隐藏把手的真正用处'}
{'评论时间': '2024-02-03 23:20:49', 'IP属地': '江西', '评论内容': '刚从湖北回来，太难了'}
{'评论时间': '2024-02-03 18:33:23', 'IP属地': '四川', '评论内容': '最脑残的设计'}
{'评论时间': '2024-02-03 10:16:07', 'IP属地': '辽宁', '评论内容': '小心你过年的美甲哦'}
{'评论时间': '2024-02-03 19:28:42', 'IP属地': '湖北', '评论内容': '为了看冻雨，现在还滞留在汉口火车站'}
{'评论时间': '2024-02-03 19:25:57', 'IP属地': '湖南', '评论内容': '下雪的地区，千万别买暗门啊，'}
{'评论时间': '2024-02-03 07:52:38', 'IP属地': '广东', '评论内容': '身为湖北人表示没见过'}
{'评论时间': '2024-02-03 21:59:11', 'IP属地': '湖南', '评论内容': '脱裤子啊 对着把手呲泡尿不就好了'}
{'评论时间': '2024-02-03 21:00:55', 'IP属地': '广东', '评论内容': '隐藏得很漂亮'}
{'评论时间': '2024-02-03 20:37:38', 'IP属地': '福建', '评论内容': '浇点开水不就好了'}
{'评论时间': '2024-02-03 12:46:20', 'IP属地': '浙江', '评论内容': '拿一壶热水浇上去，  不要谢我'}
{'评论时间': '2024-02-03 23:25:48', 'IP属地': '马尔代夫', '评论内容': '能砸开还叫隐藏吗？'}
{'评论时间': '2024-02-03 13:50:30', 'IP属地': '安徽', '评论内容': '整个门都冻住了，门把手能拉得开，但是门拉不开怎么办'}
{'评论时间': '2024-02-03 15:22:23', 'IP属地': '湖北', '评论内容': '所以今天回家高铁晚点113分钟'}
{'评论时间': '2024-02-03 19:16:27', 'IP属地': '广东', '评论内容': '雷布斯的半隐藏式成经典了'}
{'评论时间': '2024-02-03 18:27:57', 'IP属地': '广西', '评论内容': '上次刷到说这个隐藏式把手设计得几牛逼滴。我就讲了下雪冻起来就晓得错了，今年就好多挨冻起打不开门滴'}
{'评论时间': '2024-02-03 18:25:32', 'IP属地': '湖北', '评论内容': '设计够未来化'}
{'评论时间': '2024-02-03 12:10:45', 'IP属地': '湖北', '评论内容': '非洲都可以下雪，但是武汉不能'}
{'评论时间': '2024-02-03 10:23:30', 'IP属地': '湖北', '评论内容': '湖北叫冰棍'}
{'评论时间': '2024-02-03 11:35:57', 'IP属地': '广东', '评论内容': '还好我跑出来过年了'}
{'评论时间': '2024-02-03 11:38:39', 'IP属地': '贵州', '评论内容': '冻雨之乡在贵州'}
{'评论时间': '2024-02-03 00:59:55', 'IP属地': '山东', '评论内容': '我们湖北天门管这个叫令杠子'}
{'评论时间': '2024-02-03 14:54:15', 'IP属地': '湖北', '评论内容': '湖北天门叫宁杠子'}
{'评论时间': '2024-02-03 10:01:55', 'IP属地': '湖北', '评论内容': '湖北冻雨特别高冷！'}
{'评论时间': '2024-02-03 07:10:41', 'IP属地': '湖北', '评论内容': '我们湖北比你老家冷吗？'}
{'评论时间': '2024-02-03 09:28:26', 'IP属地': '广东', '评论内容': '浇点开水'}
{'评论时间': '2024-02-03 14:20:31', 'IP属地': '湖北', '评论内容': '武汉天气会留住每一个要归家的人'}
{'评论时间': '2024-02-03 22:21:54', 'IP属地': '河南', '评论内容': '一个别把能占多少位置，简直是反人类设计'}
{'评论时间': '2024-02-03 18:32:14', 'IP属地': '湖北', '评论内容': '湖北人民最好客'}
{'评论时间': '2024-02-03 20:14:38', 'IP属地': '四川', '评论内容': '左右看看，没人的话撒泡尿试试'}
{'评论时间': '2024-02-03 18:34:10', 'IP属地': '湖南', '评论内容': '冬天车门把手都不让开，还想开车?果然省油，只接不开了'}
{'评论时间': '2024-02-03 20:03:12', 'IP属地': '河南', '评论内容': '烧一壶热水浇上去'}
{'评论时间': '2024-02-03 21:28:59', 'IP属地': '四川', '评论内容': '没事  下一款就是把手加热出来了'}
{'评论时间': '2024-02-03 19:19:50', 'IP属地': '吉林', '评论内容': '东北今年都没下过几次这么大的雪'}
{'评论时间': '2024-02-03 18:42:35', 'IP属地': '广东', '评论内容': '只适合广东这隐藏把手'}
{'评论时间': '2024-02-03 13:13:48', 'IP属地': '重庆', '评论内容': '刚刚看成了冰雨'}
{'评论时间': '2024-02-03 18:37:45', 'IP属地': '河北', '评论内容': '车也过年'}
{'评论时间': '2024-02-03 23:08:45', 'IP属地': '安徽', '评论内容': '去找热水或者用电吹风吧'}
{'评论时间': '2024-02-03 09:40:32', 'IP属地': '北京', '评论内容': '集齐100个嗯，湖北过年'}
{'评论时间': '2024-02-03 23:29:42', 'IP属地': '陕西', '评论内容': '传统汽车的每一个设计都是用生命验证过的，随意改变设计是要用生命去验证的'}
{'评论时间': '2024-02-03 22:16:50', 'IP属地': '湖北', '评论内容': '哇！我明天也要去'}
{'评论时间': '2024-02-03 01:21:40', 'IP属地': '湖北', '评论内容': '小时候也是下雪下令，腿贱，一脚把自己踢翻了'}
{'评论时间': '2024-02-03 14:18:16', 'IP属地': '湖北', '评论内容': '既然走不了，何不在湖北玩两天再走？'}
{'评论时间': '2024-02-03 09:16:48', 'IP属地': '湖北', '评论内容': '再解释一下，雪籽子下下来不沾衣服会弹走，冻雨落衣服上会覆盖在你的衣服上，沾衣服上就像旺旺雪饼上的纹路，而且还拍不到掉'}
{'评论时间': '2024-02-03 02:24:28', 'IP属地': '安徽', '评论内容': '冻雨是什么雨'}
{'评论时间': '2024-02-03 22:00:20', 'IP属地': '四川', '评论内容': '昨天汉口出发回四川晚点一个半小时，本来还挺抱怨的，看了今天的情况，还好还好'}
{'评论时间': '2024-02-03 22:01:19', 'IP属地': '河北', '评论内容': '真高级'}
{'评论时间': '2024-02-03 13:12:53', 'IP属地': '湖北', '评论内容': '湖北叫油光令'}
{'评论时间': '2024-02-03 19:17:42', 'IP属地': '湖南', '评论内容': '都留下来了，湖北文旅安排去'}
{'评论时间': '2024-02-03 14:40:56', 'IP属地': '安徽', '评论内容': '我昨晚还在想隐藏式门把手在这种天气会不会冻住'}
{'评论时间': '2024-02-03 19:23:44', 'IP属地': '广东', '评论内容': '隐藏式门把手、半幅方向盘，都是洒笔设计'}
{'评论时间': '2024-02-03 11:18:37', 'IP属地': '河南', '评论内容': '后轱辘不转前轱辘转思密达'}
{'评论时间': '2024-02-03 20:35:27', 'IP属地': '江西', '评论内容': '冬天停外面在门把手上贴一条胶带'}
{'评论时间': '2024-02-03 11:48:50', 'IP属地': '甘肃', '评论内容': '吆西，后轱辘不转前轱辘转思密达'}
{'评论时间': '2024-02-03 13:01:22', 'IP属地': '湖北', '评论内容': '加油加油加油！我开拖拉机帮你拉'}
{'评论时间': '2024-02-03 14:40:01', 'IP属地': '湖北', '评论内容': '东北没有湖北这种湿度，现在湿度差不多100％了'}
{'评论时间': '2024-02-03 15:14:09', 'IP属地': '山东', '评论内容': '前轱辘转，后轱辘不转思密达'}
{'评论时间': '2024-02-03 21:35:34', 'IP属地': '湖北', '评论内容': '别说这隐形把手了，共享单车的铃铛都被冻住了，根本不敢骑'}
{'评论时间': '2024-02-03 22:37:05', 'IP属地': '湖北', '评论内容': '还好我那天把票改签提前回来了'}
{'评论时间': '2024-02-03 12:07:50', 'IP属地': '广东', '评论内容': '这不是刘德华的冰雨吗'}
{'评论时间': '2024-02-03 13:06:36', 'IP属地': '安徽', '评论内容': '武汉京爷'}
{'评论时间': '2024-02-03 13:52:54', 'IP属地': '江苏', '评论内容': '还有冻雨'}
{'评论时间': '2024-02-03 21:10:54', 'IP属地': '北京', '评论内容': '最脑残的高科技设计'}
{'评论时间': '2024-02-03 22:45:01', 'IP属地': '浙江', '评论内容': '隐藏的好深啊'}
{'评论时间': '2024-02-03 21:59:44', 'IP属地': '河南', '评论内容': '坑爹的设计'}
{'评论时间': '2024-02-03 09:56:25', 'IP属地': '湖北', '评论内容': '冷冷的冰雨在脸上胡乱的拍'}
{'评论时间': '2024-02-03 21:43:03', 'IP属地': '江苏', '评论内容': '隐藏式门把手，一点都不实用'}
{'评论时间': '2024-02-03 18:45:49', 'IP属地': '四川', '评论内容': '这就是车企赠送的隐藏功能，防盗'}
{'评论时间': '2024-02-03 20:18:46', 'IP属地': '江西', '评论内容': '设计缺陷'}
{'评论时间': '2024-02-03 20:12:22', 'IP属地': '福建', '评论内容': '傻瓜，往把手撒泡尿不就好了'}
{'评论时间': '2024-02-03 23:14:34', 'IP属地': '四川', '评论内容': '点赞门把手，给你点个赞'}
{'评论时间': '2024-02-03 22:31:05', 'IP属地': '湖北', '评论内容': '不好意思，湖北你留下我的人可留不下我的心，我要回四川'}
{'评论时间': '2024-02-03 09:07:03', 'IP属地': '北京', '评论内容': '什么赖～你已经湖北化了'}
{'评论时间': '2024-02-03 13:59:39', 'IP属地': '湖北', '评论内容': '高铁在路上停了半天'}
{'评论时间': '2024-02-03 20:36:12', 'IP属地': '山东', '评论内容': '撒泡尿试试'}
{'评论时间': '2024-02-03 17:14:47', 'IP属地': '湖北', '评论内容': '这下湖北人高冷实锤了'}
{'评论时间': '2024-02-03 21:13:54', 'IP属地': '陕西', '评论内容': '反人类设计。跟特斯拉学'}
{'评论时间': '2024-02-03 21:06:15', 'IP属地': '江苏', '评论内容': '啊明天早上九点的票，上海到汉口的车次，还没通知停车'}
{'评论时间': '2024-02-03 20:09:44', 'IP属地': '福建', '评论内容': '原本用在阿斯顿马丁上面的设计，一堆普通车企为了装比也去抄，人家阿斯顿马丁停在恒温车库，你普通电车也停恒温车库？'}
{'评论时间': '2024-02-03 16:15:43', 'IP属地': '湖北', '评论内容': '我在武汉洪山区'}
{'评论时间': '2024-02-03 22:58:08', 'IP属地': '江西', '评论内容': '这个设计就是华而不实'}
{'评论时间': '2024-02-03 20:19:29', 'IP属地': '湖北', '评论内容': '我们湖北这叫令剧子'}
{'评论时间': '2024-02-03 12:57:32', 'IP属地': '湖北', '评论内容': '你咋不看看停运的湖北，来一趟武汉热情的留着我不让我走'}
{'评论时间': '2024-02-03 16:14:03', 'IP属地': '湖北', '评论内容': '东北的妹子会不会'}
{'评论时间': '2024-02-03 12:52:33', 'IP属地': '湖北', '评论内容': '前轱辘转后轱辘不转思密达'}
{'评论时间': '2024-02-03 16:20:15', 'IP属地': '广东', '评论内容': '赶紧买小米，半隐藏式门把手'}
{'评论时间': '2024-02-03 15:11:31', 'IP属地': '陕西', '评论内容': '我爸说早上出门路上一地的老头老太太'}
{'评论时间': '2024-02-03 15:35:55', 'IP属地': '湖北', '评论内容': '那些说要留武汉过年的，可让你们想着了'}
{'评论时间': '2024-02-03 20:03:15', 'IP属地': '湖北', '评论内容': '武汉牌水晶'}
{'评论时间': '2024-02-03 11:38:40', 'IP属地': '湖北', '评论内容': '冻雨就是直接跳过下雪阶段，直接进入化雪阶段'}
{'评论时间': '2024-02-03 21:53:28', 'IP属地': '山东', '评论内容': '这就是不买这种车把手的理由'}
{'评论时间': '2024-02-03 14:18:56', 'IP属地': '湖北', '评论内容': '今天还有暴雪'}
{'评论时间': '2024-02-03 22:46:31', 'IP属地': '北京', '评论内容': '换个加热门把手就好了'}
{'评论时间': '2024-02-03 15:07:31', 'IP属地': '吉林', '评论内容': '设计缺陷，应该有加热装置'}
{'评论时间': '2024-02-03 13:17:27', 'IP属地': '吉林', '评论内容': '你只是一时打不开车门而已。毕竟省油才是实打实的便宜'}
{'评论时间': '2024-02-03 16:04:41', 'IP属地': '湖北', '评论内容': '我一个湖北人，好多年没见过冻雨'}
{'评论时间': '2024-02-03 23:18:18', 'IP属地': '四川', '评论内容': '电车不是很智能吗？都能自己跑网约车挣电费了，车门不给自动开哇？肯定是你把车骂了，还咋滴它了'}
{'评论时间': '2024-02-03 11:16:20', 'IP属地': '江苏', '评论内容': '准备评论浇开水吧，字没打完你都开走了'}
{'评论时间': '2024-02-03 23:17:46', 'IP属地': '湖北', '评论内容': '下冰雹不开玩笑武汉'}
{'评论时间': '2024-02-03 11:36:26', 'IP属地': '湖北', '评论内容': '咱湖北没有暖气，都是硬抗啊，你可多穿点儿吧'}
{'评论时间': '2024-02-03 14:21:58', 'IP属地': '湖北', '评论内容': '这叫汽车铠甲。我们冬天的汽车都要穿铠甲的水晶的'}
{'评论时间': '2024-02-03 11:22:30', 'IP属地': '湖北', '评论内容': '湖北人都看傻了？冻雨这名字谁取的呢'}
{'评论时间': '2024-02-03 19:07:03', 'IP属地': '天津', '评论内容': '现在有一款车好像又回到以前面包子那样的门把手样式了'}
{'评论时间': '2024-02-03 21:05:59', 'IP属地': '湖北', '评论内容': '还好在下雪前一天赶回来了'}
{'评论时间': '2024-02-03 14:05:48', 'IP属地': '湖南', '评论内容': '好了一块钱一公里，干成一块钱一米了'}
{'评论时间': '2024-02-03 18:14:37', 'IP属地': '江苏', '评论内容': '隐藏门把手都是新能源车'}
{'评论时间': '2024-02-03 09:13:22', 'IP属地': '湖北', '评论内容': '冰糖汽车'}
{'评论时间': '2024-02-03 23:23:44', 'IP属地': '湖北', '评论内容': '暴雪是你的谎言'}
{'评论时间': '2024-02-03 23:31:49', 'IP属地': '湖北', '评论内容': '今天早上起来车都结冰了'}
{'评论时间': '2024-02-03 18:34:37', 'IP属地': '湖南', '评论内容': '当隐藏式手把变多时，有个不要脸的企业跳出来说它们创新了半隐藏式手把'}
{'评论时间': '2024-02-03 18:53:41', 'IP属地': '湖南', '评论内容': '你家没车库吗？我家都有'}
{'评论时间': '2024-02-03 22:47:39', 'IP属地': '湖北', '评论内容': '我在被窝里面都不知道下雪了'}
{'评论时间': '2024-02-03 22:21:48', 'IP属地': '湖北', '评论内容': '那个说武汉下雪要舔雪的人呢'}
{'评论时间': '2024-02-03 22:12:21', 'IP属地': '湖北', '评论内容': '用热水才行'}
{'评论时间': '2024-02-03 14:06:37', 'IP属地': '湖北', '评论内容': '湖北冬天才是真的冷，武汉比荆州都要冷，之前在武汉上学洗衣服把我冻哭了'}
{'评论时间': '2024-02-03 21:44:41', 'IP属地': '河南', '评论内容': '上高速清理'}
{'评论时间': '2024-02-03 13:35:15', 'IP属地': '江苏', '评论内容': '看来这车把手设计不完美了'}
{'评论时间': '2024-02-03 20:11:18', 'IP属地': '湖北', '评论内容': '今天早上我的车'}
{'评论时间': '2024-02-03 08:40:00', 'IP属地': '湖北', '评论内容': '在东北待了两年。昨天刚刚回来，唉，给我冻的，我艹'}
{'评论时间': '2024-02-03 17:15:28', 'IP属地': '河南', '评论内容': '下午经过武汉，停了半个小时'}
{'评论时间': '2024-02-03 00:01:19', 'IP属地': '河南', '评论内容': '车胎设计跟鞋底一样还会打滑吗'}
{'评论时间': '2024-02-03 18:27:00', 'IP属地': '重庆', '评论内容': '为什么要用门把手，不用就是，反正都嫌弃'}
{'评论时间': '2024-02-03 12:12:11', 'IP属地': '湖北', '评论内容': '湖北特产，冻雨'}
{'评论时间': '2024-02-03 10:43:35', 'IP属地': '湖北', '评论内容': '冰糖葫芦汽车馅的'}
