{'评论时间': '2024-02-09 17:01:39', 'IP属地': '安徽', '评论内容': '感动了'}
{'评论时间': '2024-02-09 08:10:51', 'IP属地': '安徽', '评论内容': '冻雨是透明的冰，这特么明明是雪压多了压成这样的'}
{'评论时间': '2024-02-09 14:44:26', 'IP属地': '天津', '评论内容': '反人类，竟然都这样设计，真是奇了葩了'}
{'评论时间': '2024-02-09 17:40:48', 'IP属地': '辽宁', '评论内容': '假东北人'}
{'评论时间': '2024-02-09 11:32:43', 'IP属地': '湖北', '评论内容': '实在忍不住'}
{'评论时间': '2024-02-09 06:06:02', 'IP属地': '山东', '评论内容': '冻雨'}
{'评论时间': '2024-02-09 02:45:39', 'IP属地': '湖北', '评论内容': '湖北人见识短，啥都不懂，每年都需要其他省市的“热心市民”教导哈做人做事。我们虚心学了，又阴阳怪气哔哔赖赖，像极了村口大妈的口水。让我想起我是法系车主，买个法系车开个法系车，这被喷，那被嚼。不晓得是招谁惹谁了'}
{'评论时间': '2024-02-09 13:39:20', 'IP属地': '黑龙江', '评论内容': '别的地方咋冻没办法，高速公路上，马上撒盐，然后昼夜清理，难道不应该吗'}
{'评论时间': '2024-02-09 06:23:15', 'IP属地': '广东', '评论内容': '叔叔我在广东不可思议的笑出了声'}
{'评论时间': '2024-02-09 09:50:37', 'IP属地': '江苏', '评论内容': '是否有预案：比如提前撒盐。是否有应对方案'}
{'评论时间': '2024-02-09 07:12:03', 'IP属地': '湖北', '评论内容': '24年第一奇闻热搜，南方人给北方人科普什么是冻雨'}
{'评论时间': '2024-02-09 21:42:52', 'IP属地': '湖北', '评论内容': '冻雨很难除，锄头挖不动，太硬'}
{'评论时间': '2024-02-09 11:06:09', 'IP属地': '广东', '评论内容': '没有回去，只能看这视频'}
{'评论时间': '2024-02-09 00:31:40', 'IP属地': '辽宁', '评论内容': '哈哈哈，一群没经验多互掐，新年好。'}
{'评论时间': '2024-02-09 22:41:15', 'IP属地': '山东', '评论内容': '值得全湖北人学习。'}
{'评论时间': '2024-02-09 04:40:17', 'IP属地': '山东', '评论内容': '北方人都了解'}
{'评论时间': '2024-02-09 11:27:09', 'IP属地': '湖北', '评论内容': '我是湖北宜昌的半夜3点不到，环卫工作人员和很多单位工作人员连夜铲雪，几个小时交通就畅通无阻了，为宜昌政府点赞'}
{'评论时间': '2024-02-09 01:00:59', 'IP属地': '湖北', '评论内容': '我是一名许广高速的工作人员，这一次的雪真的太恐怖了，水滴在地上就结冰，撒盐都没用，只能机械铲完人工上场铲，我昨天刚从路上下来，看到大家在车上饿的样子真的很难过，我们单位安排送了40箱泡面，看大家吃东西的样子我真的很高兴。想对滞留在高速公路上的您们说一声：对不起，让您们受困了。对不起，耽误您的回家路了。谢谢您，您的理解是我们继续前行的动力。'}
{'评论时间': '2024-02-09 08:19:18', 'IP属地': '山东', '评论内容': '我们山东叫雨夹雪'}
{'评论时间': '2024-02-09 13:20:41', 'IP属地': '河南', '评论内容': '这样的地面场景在北方太多了。只能说南方人缺少这方面的行路经验'}
{'评论时间': '2024-02-09 13:45:58', 'IP属地': '山西', '评论内容': '警察叔叔摔那，我不厚道的笑了'}
{'评论时间': '2024-02-09 00:15:11', 'IP属地': '江苏', '评论内容': '不好意思我让警察蜀黍摔了好几次'}
{'评论时间': '2024-02-09 15:22:33', 'IP属地': '河南', '评论内容': '我们村的路上，现在都出太阳了，十多度的气温'}
{'评论时间': '2024-02-09 07:13:24', 'IP属地': '山东', '评论内容': '冻雨我们这早下了，但是没有武汉的大'}
{'评论时间': '2024-02-09 00:20:58', 'IP属地': '新疆', '评论内容': '河南在努力铲雪，湖北在努力科普冻雨'}
{'评论时间': '2024-02-09 16:28:18', 'IP属地': '江西', '评论内容': '天气问题，为啥能怪到人和省份身上？'}
{'评论时间': '2024-02-09 06:57:21', 'IP属地': '山东', '评论内容': '车玻璃上缺失不能撒盐🧂'}
{'评论时间': '2024-02-09 00:38:50', 'IP属地': '湖北', '评论内容': '表，怎么不提前撒盐，不一边下一边清理，车子都压实了都懒得管'}
{'评论时间': '2024-02-09 02:28:34', 'IP属地': '重庆', '评论内容': '没经验，但也确实反应慢了'}
{'评论时间': '2024-02-09 01:55:50', 'IP属地': '浙江', '评论内容': '南方人，欸嘿嘿好玩'}
{'评论时间': '2024-02-09 15:05:04', 'IP属地': '西藏', '评论内容': '反人类设计'}
{'评论时间': '2024-02-09 00:19:32', 'IP属地': '贵州', '评论内容': '喷子特别的多！好多在骂湖北的！骂湖北的人简直就是混账！'}
{'评论时间': '2024-02-09 02:02:29', 'IP属地': '福建', '评论内容': '一生要强的北方人'}
{'评论时间': '2024-02-09 15:51:58', 'IP属地': '贵州', '评论内容': '这个冻雨，可能贵州人才能真正的知道它有多严重。'}
{'评论时间': '2024-02-09 08:26:38', 'IP属地': '韩国', '评论内容': '一下子砸到脚脖子那里的厚度 按照万有引力 湖北应该没有能站着的人'}
{'评论时间': '2024-02-09 00:30:23', 'IP属地': '湖北', '评论内容': '湖北到了三月底就会变成夏天'}
{'评论时间': '2024-02-09 01:25:30', 'IP属地': '吉林', '评论内容': '邻居说：为何不边下边撒盐'}
{'评论时间': '2024-02-09 00:28:07', 'IP属地': '广东', '评论内容': '不好意思忍不住了'}
{'评论时间': '2024-02-09 22:15:20', 'IP属地': '四川', '评论内容': '湖北加油'}
{'评论时间': '2024-02-09 12:01:03', 'IP属地': '江苏', '评论内容': '等结冰了再开雨刮器'}
{'评论时间': '2024-02-09 08:10:03', 'IP属地': '重庆', '评论内容': '湖北人真的很节约'}
{'评论时间': '2024-02-09 04:42:29', 'IP属地': '湖北', '评论内容': '大家 伙们，真正想回家过年不是搁网上骂街，而是另寻出入，大家不用担心，我好人做到底，给大家指条明路，图放下面了。自行了解，希望对大家有帮助'}
{'评论时间': '2024-02-09 11:04:21', 'IP属地': '吉林', '评论内容': '东北的初冬和冬天要结束的时候，这种天气经常有'}
{'评论时间': '2024-02-09 20:40:24', 'IP属地': '湖北', '评论内容': '冻雨主要发生在南方地区，贵州冻雨最多，具体原因自己百度，高中地理课有讲解过冻雨是什么，喷子和吹牛逼的直接拉黑，让你对空气吹。不要被私密号带节奏'}
{'评论时间': '2024-02-09 07:29:31', 'IP属地': '湖北', '评论内容': '视频传到哪里了？'}
{'评论时间': '2024-02-09 17:43:23', 'IP属地': '贵州', '评论内容': '帽子：我既然被警察叔叔踢了'}
{'评论时间': '2024-02-09 06:00:20', 'IP属地': '河北', '评论内容': '冻雨是什么'}
{'评论时间': '2024-02-09 01:54:13', 'IP属地': '湖北', '评论内容': '很多东北ip说湖北人嘴硬'}
{'评论时间': '2024-02-09 12:49:59', 'IP属地': '江苏', '评论内容': '宜昌是湖北的吗？是不是没下冻雨'}
{'评论时间': '2024-02-09 21:18:22', 'IP属地': '江苏', '评论内容': '交警叔叔太辛苦了'}
{'评论时间': '2024-02-09 08:32:31', 'IP属地': '山东', '评论内容': '山东人民表示没见过这么厚的冰，这是去年冻得吧'}
{'评论时间': '2024-02-09 11:06:58', 'IP属地': '河南', '评论内容': '刚刚刷到湖北河南冻雨交界'}
{'评论时间': '2024-02-09 22:06:15', 'IP属地': '山东', '评论内容': '谢谢你让我知道了什么叫冰雨'}
{'评论时间': '2024-02-09 20:31:50', 'IP属地': '江苏', '评论内容': '我来大姨妈了，等过几天，血都流到脚跟了，才想起来得弄个姨妈巾，最后我总结，带血的内裤真难洗。最后我还得跟所有人都科普，怎么洗带血的内裤'}
{'评论时间': '2024-02-09 00:09:04', 'IP属地': '广东', '评论内容': '河南本身就是北方常年冬雪有何奇怪？？？季节气候就摆在那里还和南方比，比什么，比你们常年下雪有经验，难道不是正常的么？年年冻雪，如果没有经验你们如何居住如何生活？'}
{'评论时间': '2024-02-09 08:04:24', 'IP属地': '浙江', '评论内容': '现在清理和刚开始下雪清理是不一样的，公路没起到畅通作用，给人造成了困难，增加清理费用，'}
{'评论时间': '2024-02-09 03:40:54', 'IP属地': '河南', '评论内容': '过年了 新年快乐  歇歇吧  快乐'}
{'评论时间': '2024-02-09 06:44:25', 'IP属地': '北京', '评论内容': '冷冷的冰雨。。。'}
{'评论时间': '2024-02-09 14:29:17', 'IP属地': '吉林', '评论内容': '我是没见过冻雨'}
{'评论时间': '2024-02-09 16:20:18', 'IP属地': '河南', '评论内容': '没有现代化设备没有办法'}
{'评论时间': '2024-02-09 11:35:00', 'IP属地': '广西', '评论内容': '不好意思'}
{'评论时间': '2024-02-09 17:14:42', 'IP属地': '湖南', '评论内容': '我是湖北人，感动'}
{'评论时间': '2024-02-09 20:19:52', 'IP属地': '江西', '评论内容': '加油加油加油加油加油加油加油加油加油加油加油'}
{'评论时间': '2024-02-09 09:42:54', 'IP属地': '江苏', '评论内容': '不要再普及什么是冻雨了，全国也就湖北下过'}
{'评论时间': '2024-02-09 01:05:33', 'IP属地': '山东', '评论内容': '湖北人感恩的'}
{'评论时间': '2024-02-09 12:39:57', 'IP属地': '河南', '评论内容': '这要有一个没摔倒的都不好意思'}
{'评论时间': '2024-02-09 07:07:06', 'IP属地': '四川', '评论内容': '我就奇了怪了，这种时候不是应该齐心协力共同解决问题么？怎么老有那么多喷子去叽叽歪歪呢？你那么厉害，你去除雪啊'}
{'评论时间': '2024-02-09 10:18:37', 'IP属地': '广东', '评论内容': '北方人不要问了，南方人还是天天洗澡，不洗老婆不让上床'}
{'评论时间': '2024-02-09 08:20:21', 'IP属地': '湖北', '评论内容': '其实什么都不管就行了，反正我们不走高速'}
{'评论时间': '2024-02-09 08:27:43', 'IP属地': '广东', '评论内容': '这样看来下雪的地方都是北方'}
{'评论时间': '2024-02-09 22:08:04', 'IP属地': '黑龙江', '评论内容': '如果我不是东北人真就信了'}
{'评论时间': '2024-02-09 01:42:24', 'IP属地': '吉林', '评论内容': '哇！原来这是冻雨啊，都没见过呢，好怕怕'}
{'评论时间': '2024-02-09 23:46:57', 'IP属地': '河南', '评论内容': '说白了就是雨夹雪'}
{'评论时间': '2024-02-09 00:06:45', 'IP属地': '广西', '评论内容': '真的有的北方人，以为自己就是一个气象专家了，从小见雪，不知道冻雨就算了，还把无知当个性'}
{'评论时间': '2024-02-09 19:21:46', 'IP属地': '河北', '评论内容': '我说句公道话，我在湖北呆过3年，湖北确实没下过这样的雨或雪，确实有时候有些事做不到位，可以理解，外省的也别阴阳(我估计很多湖北人就是因为阴阳他们才生气的)，但是就这场雨/雪以及我北方人的经验来说，确实是没有及时清理。希望大家互相理解。'}
{'评论时间': '2024-02-09 01:15:11', 'IP属地': '河南', '评论内容': '河南和湖北几百公里省界线，十几个县相邻，这冻雨也定位的这么准确啊'}
{'评论时间': '2024-02-09 04:58:04', 'IP属地': '陕西', '评论内容': '冻雨这么严重，一开始高速上那些车怎么跑的'}
{'评论时间': '2024-02-09 22:27:20', 'IP属地': '湖北', '评论内容': '路上拍的'}
{'评论时间': '2024-02-09 12:17:15', 'IP属地': '广东', '评论内容': '本来三拖一，交警叔叔神同步一起摔，结果一拖三啦'}
{'评论时间': '2024-02-09 17:25:32', 'IP属地': '江苏', '评论内容': '湖北高速能通行吗现在，还想回老家不敢走'}
{'评论时间': '2024-02-09 00:37:06', 'IP属地': '河南', '评论内容': '我们东北已经二十几年没见过这种恶劣冻雨了'}
{'评论时间': '2024-02-09 16:38:55', 'IP属地': '福建', '评论内容': '你们以为南方很舒服啊，去搜一下什么是回南天'}
{'评论时间': '2024-02-09 03:57:03', 'IP属地': '泰国', '评论内容': '你没见过？每年10来度下雨夹雪的时候你没见过？'}
{'评论时间': '2024-02-09 14:21:07', 'IP属地': '广东', '评论内容': '南方人想问下这雪能吃吗'}
{'评论时间': '2024-02-09 16:04:24', 'IP属地': '贵州', '评论内容': '08年啊，整个山啊密密麻麻的树木全部都压断了，就是能想象吗第二年的时候一片片的山全光了，有些房子都塌了，结冰的速度太快了！下的是雨，落地就结冰，晚上睡觉都能不间断的听见松树被压断的声音！想想都可怕'}
{'评论时间': '2024-02-09 00:06:13', 'IP属地': '新疆', '评论内容': '河南在努力铲雪，湖北在努力科普冻雨'}
{'评论时间': '2024-02-09 02:20:08', 'IP属地': '湖北', '评论内容': '我现在把那些阴阳我们的全部截屏了，那几个人都等着吧等你们这些河南啊山东啊江苏啊安徽这些人出自然灾害了，放心我第一时间来给你发私信'}
{'评论时间': '2024-02-09 01:16:54', 'IP属地': '湖南', '评论内容': '湖南湖北对于这种事，一直都是被这样'}
{'评论时间': '2024-02-09 11:43:42', 'IP属地': '安徽', '评论内容': '作为安徽人。他这高速跟乡下没除雪的路一样。车子压的'}
{'评论时间': '2024-02-09 09:01:33', 'IP属地': '河南', '评论内容': '仙桃，京山段，堵了20多小时，没人管，没人问，刚开始白天路上没雪，没结冰，不放行，晚上大雪，还不放行'}
{'评论时间': '2024-02-09 14:54:03', 'IP属地': '湖北', '评论内容': '到处都有某省胯子的喷子，逮哪喷哪'}
{'评论时间': '2024-02-09 08:31:18', 'IP属地': '海南', '评论内容': '只要大家能平安到家，晚点没关系'}
{'评论时间': '2024-02-09 00:21:23', 'IP属地': '黑龙江', '评论内容': '糊弄南方人还可以'}
{'评论时间': '2024-02-09 01:19:19', 'IP属地': '辽宁', '评论内容': '湖北省财政考虑一下让这位东北女婿承包除雪铲冰工作吧，经验丰富'}
{'评论时间': '2024-02-09 11:52:22', 'IP属地': '新疆', '评论内容': '我们是下雪就扫，你们是等雪化呢。对不起，这次它没有按你们的思路走'}
{'评论时间': '2024-02-09 16:49:48', 'IP属地': '河南', '评论内容': '不及时清理，河南的雪也会变成这样'}
{'评论时间': '2024-02-09 06:55:13', 'IP属地': '黑龙江', '评论内容': '这在东北不是很正常吗？不就是冻雨吗'}
{'评论时间': '2024-02-09 00:52:26', 'IP属地': '湖北', '评论内容': '冻雨呀！'}
{'评论时间': '2024-02-09 08:24:20', 'IP属地': '湖北', '评论内容': '感谢湖北人'}
{'评论时间': '2024-02-09 10:39:10', 'IP属地': '湖北', '评论内容': '喷子以后都给任何受灾地区受灾群众挡灾，都落在他们身上'}
{'评论时间': '2024-02-09 07:25:47', 'IP属地': '湖南', '评论内容': '这才是交警该有的样子'}
{'评论时间': '2024-02-09 10:55:42', 'IP属地': '河南', '评论内容': '不懂就问为什么湖北冻雨会被骂嘞？？？？'}
{'评论时间': '2024-02-09 14:05:24', 'IP属地': '广东', '评论内容': '我小时候铲雪，有爸爸专门给我做的铲子'}
{'评论时间': '2024-02-09 10:11:11', 'IP属地': '江苏', '评论内容': '清理不及时，找借口'}
{'评论时间': '2024-02-09 20:00:25', 'IP属地': '河南', '评论内容': '雨夹雪，北方都是这么叫吧？。。。不第一时间清理，就诞生个新词“冻雨”'}
{'评论时间': '2024-02-09 06:51:17', 'IP属地': '江苏', '评论内容': '不遇到玻璃不结冰。'}
{'评论时间': '2024-02-09 18:02:40', 'IP属地': '河南', '评论内容': '谁能想到南方会下大雪，设备储量低应对慢很正常。就像我们郑州当时暴雨一样，谁能想到一个内陆城市一小时被灌进去一百多个西湖的水量。地理气候不一样是为了让大家互帮互助的，不是为了让大家找优越感，拿天灾人命开玩笑的。'}
{'评论时间': '2024-02-09 08:56:30', 'IP属地': '湖南', '评论内容': '湖南也没避开呀，大哥。'}
{'评论时间': '2024-02-09 16:25:06', 'IP属地': '辽宁', '评论内容': '热水！东北有防冻玻璃水'}
{'评论时间': '2024-02-09 15:58:12', 'IP属地': '河北', '评论内容': '湖北个别人的嘴真硬！'}
{'评论时间': '2024-02-09 17:56:55', 'IP属地': '吉林', '评论内容': '这么说吧什么冻雨这这那那的都是借口'}
{'评论时间': '2024-02-09 14:55:43', 'IP属地': 'IP未知', '评论内容': '狡猾的交警叔叔'}
{'评论时间': '2024-02-09 22:44:12', 'IP属地': '湖南', '评论内容': '几年前我就说这是反人类设计'}
{'评论时间': '2024-02-09 07:27:12', 'IP属地': '陕西', '评论内容': '为湖北人民加油！'}
{'评论时间': '2024-02-09 07:57:30', 'IP属地': '河北', '评论内容': '冷冷的冰雨在脸上胡乱的拍'}
{'评论时间': '2024-02-09 10:38:43', 'IP属地': '山东', '评论内容': '这是个假的东北人'}
{'评论时间': '2024-02-09 01:20:46', 'IP属地': '内蒙古', '评论内容': '说到底，就是没有及时清理，遇见后来降温。。'}
{'评论时间': '2024-02-09 10:32:17', 'IP属地': '湖南', '评论内容': '作为一名司机，看到这样的视频已经泪流满面，'}
{'评论时间': '2024-02-09 14:27:17', 'IP属地': '内蒙古', '评论内容': '注意安全！！愿大家平安过年'}
{'评论时间': '2024-02-09 09:45:14', 'IP属地': '山东', '评论内容': '本来是个感人的故事，我怎么就忍不住笑了'}
{'评论时间': '2024-02-09 14:35:59', 'IP属地': '河南', '评论内容': '湖北还是冻雨天气吗'}
{'评论时间': '2024-02-09 22:00:00', 'IP属地': '黑龙江', '评论内容': '在湖北堵了20多小时！'}
{'评论时间': '2024-02-09 22:22:52', 'IP属地': '重庆', '评论内容': '湖北人民真热情'}
{'评论时间': '2024-02-09 22:53:37', 'IP属地': '山西', '评论内容': '我爸爸是大车司机，云南拉货到湖北，因为天气在湖北耽搁了几天，今天安全到家啦'}
{'评论时间': '2024-02-09 13:09:08', 'IP属地': '湖北', '评论内容': '湘湘，注意保暖 没事别往高速上跑去除冰 身体重要别感冒了'}
{'评论时间': '2024-02-09 10:20:23', 'IP属地': '甘肃', '评论内容': '可爱的警察叔叔'}
{'评论时间': '2024-02-09 15:00:15', 'IP属地': '江西', '评论内容': '湖北兄弟不懂就别瞎说了'}
{'评论时间': '2024-02-09 01:08:11', 'IP属地': '湖北', '评论内容': '湖北不要陷入自证了  有什么必要让每个人都满意？他们爱说就让他们说啊  反正也不会掉块肉  喷子也不能发个财   紧他们克撒'}
{'评论时间': '2024-02-09 00:08:10', 'IP属地': '河南', '评论内容': '本来我就要信了，一看到河南高速的情况，我又表示怀疑'}
{'评论时间': '2024-02-09 12:19:37', 'IP属地': '辽宁', '评论内容': '到目前为止没哭过几次，被湖北的人民感动哭了，为湖北人民点赞'}
{'评论时间': '2024-02-09 02:26:04', 'IP属地': '湖北', '评论内容': '这条视频能出省吗'}
{'评论时间': '2024-02-09 15:58:02', 'IP属地': '四川', '评论内容': '经实地体验确实滑  这次就不罚款了 屁股庝开不到单'}
{'评论时间': '2024-02-09 14:33:47', 'IP属地': '广东', '评论内容': '加油'}
{'评论时间': '2024-02-09 01:02:38', 'IP属地': '海南', '评论内容': '刚才看到几个这样的评论，下着雪怎么铲？难道顶着风雪出门铲雪吗？你们咋不去铲，我点开评论准备留言的，写了一大串，最后还是删掉了，算了，多一事不如少一事，免得又给我科普！真给我看懵逼了，头一次听说非要雪停了才能铲雪的，难怪冻上了，还要给人科普冻雨'}
{'评论时间': '2024-02-09 10:58:15', 'IP属地': '湖北', '评论内容': '《冻雨历险记》'}
{'评论时间': '2024-02-09 22:26:11', 'IP属地': '江苏', '评论内容': '加油啊'}
{'评论时间': '2024-02-09 10:03:31', 'IP属地': '湖北', '评论内容': '我昨天早上才知道湖北被喷，菜地没防备的都毁了，树枝都被压断了，但昨天下午基本上路上就没雪和冰了，都可以正常通行了，但还是有点危险的，因为冰化冰锥都在往下掉，很多车都在大桥下受难了'}
{'评论时间': '2024-02-09 08:39:29', 'IP属地': '新疆', '评论内容': '2024年新科普:原来只有湖北有冻雨'}
{'评论时间': '2024-02-09 14:42:45', 'IP属地': '山东', '评论内容': '我们山东，今天晚上下雪，明天一早扫雪车就满大街了窜了，不会等它压实了，不给它变结实的时间。湖北加油'}
{'评论时间': '2024-02-09 15:39:47', 'IP属地': '山西', '评论内容': '人民，人民子弟兵都是最可爱的人！'}
{'评论时间': '2024-02-09 11:50:39', 'IP属地': '江西', '评论内容': '对不住了，交警叔叔，我不是有意笑出声来的'}
{'评论时间': '2024-02-09 12:28:41', 'IP属地': '广东', '评论内容': '什么冻雨，实实在在雨来雪这是正常现象'}
{'评论时间': '2024-02-09 00:11:50', 'IP属地': '浙江', '评论内容': '警察叔叔好热心，好齐心啊'}
{'评论时间': '2024-02-09 00:08:09', 'IP属地': '新疆', '评论内容': '对对对，我们大西北没见过，冻雨只有你们那里有，我们处理冰雪的经验不足，还得湖南湖北多教教我们'}
{'评论时间': '2024-02-09 04:30:05', 'IP属地': '山东', '评论内容': '这个状况确实没见过有点吓人啊'}
{'评论时间': '2024-02-09 11:52:47', 'IP属地': '河南', '评论内容': '不是冻雨懂得界线！而是这几天上班有三倍工资'}
{'评论时间': '2024-02-09 00:44:07', 'IP属地': '辽宁', '评论内容': '你这小铲子真的没啥用'}
{'评论时间': '2024-02-09 14:03:16', 'IP属地': '河南', '评论内容': '不好意思，我愣是看了十几遍'}
{'评论时间': '2024-02-09 11:06:34', 'IP属地': '黑龙江', '评论内容': '冻雨到底是怎么成冰的，是直接下冰块吗'}
{'评论时间': '2024-02-09 03:00:47', 'IP属地': '湖南', '评论内容': '怎么撒盐'}
{'评论时间': '2024-02-09 01:30:16', 'IP属地': '河北', '评论内容': '。。。直接录个视频不好吗'}
{'评论时间': '2024-02-09 18:27:08', 'IP属地': '中国澳门', '评论内容': '湖北路政是就是厉害，我试过年初二，从神龙架到武当山的国道全是溜冰场级别的路面'}
{'评论时间': '2024-02-09 06:38:48', 'IP属地': '辽宁', '评论内容': '前些年有一次冻雨特别严重，单位停车场碗口粗的柳树压折了，刚好砸到了劳资新买的车后挡风上，喜提一块新挡风，加后备箱盖'}
{'评论时间': '2024-02-09 02:39:49', 'IP属地': '新疆', '评论内容': '新疆是南方城市'}
{'评论时间': '2024-02-09 09:40:26', 'IP属地': '河南', '评论内容': '我们北方人没见过'}
{'评论时间': '2024-02-09 08:47:42', 'IP属地': '青海', '评论内容': '屎糊屁股上才怪屎不好擦'}
{'评论时间': '2024-02-09 02:43:53', 'IP属地': '湖北', '评论内容': '最重要的……湖北武汉…属于南方…'}
{'评论时间': '2024-02-09 01:37:06', 'IP属地': '新疆', '评论内容': '我们乌市都是边下雪，边扫雪，大型机械全上，环卫工连夜扫很辛苦'}
{'评论时间': '2024-02-09 07:14:19', 'IP属地': '山东', '评论内容': '着 分明是清理不及时 车压后冻的雪    冻雨呵呵'}
{'评论时间': '2024-02-09 10:34:03', 'IP属地': '江苏', '评论内容': '好恐怖的冻雨'}
{'评论时间': '2024-02-09 09:53:09', 'IP属地': '湖北', '评论内容': '喷子们说那是没有提前撒盐的'}
{'评论时间': '2024-02-09 07:07:01', 'IP属地': '河南', '评论内容': '我们这下了一晚上，上午接这下，我请了一天假，下午雪停了，往外一看路上有的地方都快干了，我还怎么请假'}
