{'评论时间': '2024-02-04 18:54:49', 'IP属地': '安徽', '评论内容': '致敬武汉融雪除冰人，你们辛苦了！'}
{'评论时间': '2024-02-04 18:03:06', 'IP属地': '湖南', '评论内容': '好糟心，前不久他们骂河南，现在他们骂湖北，他们没体会过那种辛苦，为什么要骂'}
{'评论时间': '2024-02-04 01:20:31', 'IP属地': '江西', '评论内容': '有没有武汉人发下冻雨的梧桐大道 想看'}
{'评论时间': '2024-02-04 22:57:51', 'IP属地': '江苏', '评论内容': '第一次听到冻雨这个词而这两天让我看到了这个词的距献化，第一次看到冻雨自然灾害如此的恐怖那么粗的树枝都被压断了，可想的是如果人走在路上万一被砸到是多么恐怖的事情'}
{'评论时间': '2024-02-04 19:19:44', 'IP属地': '山西', '评论内容': '祝愿回家的游子安全回家'}
{'评论时间': '2024-02-04 23:43:06', 'IP属地': '湖南', '评论内容': '湖南'}
{'评论时间': '2024-02-04 18:16:05', 'IP属地': '福建', '评论内容': '我就是被取消去湖北航班的其中一员'}
{'评论时间': '2024-02-04 18:57:45', 'IP属地': '山西', '评论内容': '2号山西回湖南，听说现在还在荆州'}
{'评论时间': '2024-02-04 16:24:33', 'IP属地': '湖北', '评论内容': '我看谁再骂湖北试试看呢'}
{'评论时间': '2024-02-04 17:17:47', 'IP属地': '湖北', '评论内容': '明明是天气原因 骂湖北干嘛呢'}
{'评论时间': '2024-02-04 18:07:37', 'IP属地': '四川', '评论内容': '这种天气走不了退票扣手续费嘛'}
{'评论时间': '2024-02-04 22:11:02', 'IP属地': '吉林', '评论内容': '当年冻雨我们树枝都折了，停了一天水电，真的很可怕'}
{'评论时间': '2024-02-04 16:02:34', 'IP属地': '湖北', '评论内容': '哪下雪了我不说'}
{'评论时间': '2024-02-04 17:56:55', 'IP属地': '江苏', '评论内容': '冰冷心事就在高铁上'}
{'评论时间': '2024-02-04 20:10:13', 'IP属地': '湖南', '评论内容': '湖南常德这边特别严重'}
{'评论时间': '2024-02-04 23:21:11', 'IP属地': '湖南', '评论内容': '昨天看到这个图片，我都惊呆了'}
{'评论时间': '2024-02-04 17:33:51', 'IP属地': '河南', '评论内容': '婆家河南  娘家湖北  过年怕回不去'}
{'评论时间': '2024-02-04 14:25:03', 'IP属地': '广西', '评论内容': '这不是天灾吗'}
{'评论时间': '2024-02-04 23:23:06', 'IP属地': '云南', '评论内容': '注意安全啊湖北宝宝们'}
{'评论时间': '2024-02-04 12:21:19', 'IP属地': '湖北', '评论内容': '湖北加油！好样的'}
{'评论时间': '2024-02-04 18:42:49', 'IP属地': '湖北', '评论内容': '还好我家电动车在家，不然冻的可以拿来吃了'}
{'评论时间': '2024-02-04 19:53:45', 'IP属地': '湖北', '评论内容': '冻雨没事今天大雪棚子都压塌了'}
{'评论时间': '2024-02-04 13:28:01', 'IP属地': '湖北', '评论内容': '我黄梅到底啥时候下雪'}
{'评论时间': '2024-02-04 23:33:01', 'IP属地': '云南', '评论内容': '其实冻雨用我们这里的方言来说就是凝子'}
{'评论时间': '2024-02-04 21:05:19', 'IP属地': '湖南', '评论内容': '遇到凡事不用慌。我先发给圈，早上一早起来，我家车就这样了，整个路上很多这种'}
{'评论时间': '2024-02-04 17:02:24', 'IP属地': '湖南', '评论内容': '老表不高冷，都很热情的'}
{'评论时间': '2024-02-04 20:15:10', 'IP属地': '湖北', '评论内容': '国家发生恶劣天气就有人开始对地域挑拨离间，喷湖北的是跟三年前疫情喷湖北的是意义一样的，求你们以后不要来湖北，经过湖北的请你们绕道，我们伺候不起，谢谢'}
{'评论时间': '2024-02-04 18:34:39', 'IP属地': '湖北', '评论内容': '我们这里都有好多树被压倒了，倒去都是树叶树枝'}
{'评论时间': '2024-02-04 20:30:57', 'IP属地': '浙江', '评论内容': '4年前的今天武汉火车站空无一人，4年后的今天武汉火车站人山人海！'}
{'评论时间': '2024-02-04 23:01:42', 'IP属地': '湖北', '评论内容': '还有，大家在高铁上如果高铁晚点或者临时停车时对高铁上的工作人员多理解一点，我从昨天早上7点到现在在高铁上工作已经30个小时了，刚刚才到武汉下车休息，明天还要跑车，有的旅客还在骂我们，我真的很委屈'}
{'评论时间': '2024-02-04 16:19:50', 'IP属地': '广东', '评论内容': '我在广州今天穿短袖'}
{'评论时间': '2024-02-04 17:11:58', 'IP属地': '陕西', '评论内容': '再骂湖北一个试试呢'}
{'评论时间': '2024-02-04 12:35:20', 'IP属地': '重庆', '评论内容': '公交车说：下雪，下冰都不能阻挡我送你去上班'}
{'评论时间': '2024-02-04 16:13:19', 'IP属地': '湖北', '评论内容': '这火车全挤在湖北铁路上了，后面来的火车会不会进不了站'}
{'评论时间': '2024-02-04 16:29:41', 'IP属地': '湖南', '评论内容': '这不是飘雪 全是冰雹叠起来的 昨天他们回小区上坡路都上不去 打滑 昨晚走路又滑 头都被砸麻了 '}
{'评论时间': '2024-02-04 23:28:25', 'IP属地': '湖北', '评论内容': '我今天也帮着铲雪了，机场也在尽力让各位能早点回家吃团圆饭呢'}
{'评论时间': '2024-02-04 19:22:48', 'IP属地': '河北', '评论内容': '真的没见过南方下雪什么场景，哪位大神发张图我看看呗'}
{'评论时间': '2024-02-04 21:56:42', 'IP属地': '河南', '评论内容': '郑州720就不是天灾了，当时咋那么多人骂郑州呢'}
{'评论时间': '2024-02-04 22:40:28', 'IP属地': '中国', '评论内容': '我今天晚点8小时，这会还在火车上'}
{'评论时间': '2024-02-04 13:20:57', 'IP属地': '广东', '评论内容': '完了完了，明天就要回湖北了'}
{'评论时间': '2024-02-04 21:15:36', 'IP属地': '湖北', '评论内容': '已经每天走路上班了，别骂了'}
{'评论时间': '2024-02-04 22:35:30', 'IP属地': '广东', '评论内容': '简单给大家科普一下：第一：小雨小雪不怎么影响列车运行。第二：雨夹雪再遇上低温天气、或者冻雨天气对铁路运输影响较大。第三：钢轨其实受到的影响不大，最受影响的是接触网，所有的电力机车全是靠接触网供电的，遇有雨夹雪或冻雨，直接就在接触网上结冰了，电力机车取流不畅，接触网无法正常给电力机车提供电能，轻则是列车无法常速运行，重则烧损部件无法行驶。第四：铁路接触网是 27.5kV 高压电路，而且是裸露导线，距离较近就会放电伤人，就算是让铁路职工上线路打冰，也需要在接触网停电后进行打冰，上千公里的线路，应急抢修也需要时间的。他们比你们更不希望半夜三更冒着寒风出去打冰，但是天气属实不可控，也请理解他们。第五：为了应对恶劣天气，很多铁路单位全员上岗，全员值班，做好抢修应急，但抢修不是说话间就能抢通，也需要时间，也需要顺线路奔波，沿线抢修。第六：铁路对不起的是他的职工，但绝对拼尽全力对得起旅客。互相理解吧，衷心祝愿各位旅途平安，安全是第一位。'}
{'评论时间': '2024-02-04 23:20:36', 'IP属地': '湖北', '评论内容': '湖北又背负了一切'}
{'评论时间': '2024-02-04 20:14:19', 'IP属地': '湖南', '评论内容': '湖南也是'}
{'评论时间': '2024-02-04 19:39:26', 'IP属地': '湖北', '评论内容': '第一：小雨小雪不怎么影响列车运行。第二：雨夹雪再遇上低温天气、或者冻雨天气对铁路运输影响较大。第三：钢轨其实受到的影响不大，最受影响的是接触网，所有的电力机车全是靠接触网供电的，遇有雨夹雪或冻雨，直接就在接触网上结冰了，电力机车取流不畅，接触网无法正常给电力机车提供电能，轻则是列车无法常速运行，重则烧损部件无法行驶。第四：铁路接触网是 27.5kV 高压电路，而且是裸露导线，距离较近就会放电伤人，就算是让铁路职工上线路打冰，也需要在接触网停电后进行打冰，上千公里的线路，应急抢修也需要时间的。他们比你们更不希望半夜三更冒着寒风出去打冰，但是天气属实不可控，也请理解他们。第五：为了应对恶劣天气，很多铁路单位全员上岗，全员值班，做好抢修应急，但抢修不是说话间就能抢通，也需要时间，也需要顺线路奔波，沿线抢修。第六：铁路对不起的是他的职工，但绝对拼尽全力对得起旅客。互相理解吧，衷心祝愿各位旅途平安，安全是第一位。'}
{'评论时间': '2024-02-04 17:13:55', 'IP属地': '河南', '评论内容': '晚点，退票还扣手续费'}
{'评论时间': '2024-02-04 07:33:58', 'IP属地': '广东', '评论内容': '昨天在武汉上堵着，油耗没了'}
{'评论时间': '2024-02-04 17:32:14', 'IP属地': '黑龙江', '评论内容': '湖北限定高冷铠甲'}
{'评论时间': '2024-02-04 18:46:41', 'IP属地': '江苏', '评论内容': '大家都平安'}
{'评论时间': '2024-02-04 23:26:36', 'IP属地': '河北', '评论内容': '哎满心欢喜就等过年回家呢'}
{'评论时间': '2024-02-04 16:39:17', 'IP属地': '湖北', '评论内容': '出门玩雪啊'}
{'评论时间': '2024-02-04 19:43:55', 'IP属地': '湖北', '评论内容': '你们骂人没有想过吗？我朋友凌晨被叫起来上班，你们说收钱干活，那这也是休息时间啊，而且加班也是一样的工资'}
{'评论时间': '2024-02-04 16:05:10', 'IP属地': '四川', '评论内容': '是不是要戴个头盔🪖出门哟'}
{'评论时间': '2024-02-04 23:43:26', 'IP属地': '湖南', '评论内容': '今年湖北的冬作物老火'}
{'评论时间': '2024-02-04 22:40:29', 'IP属地': '广东', '评论内容': '挺难得好好收藏吧！想买还买不到物流都堵路上了'}
{'评论时间': '2024-02-04 20:19:45', 'IP属地': '浙江', '评论内容': '现在的电气化高铁虽然速度快了，但没以前的绿皮内燃机车靠谱啊'}
{'评论时间': '2024-02-04 20:51:34', 'IP属地': '江苏', '评论内容': '不是这为啥有人骂啊？？？天灾又不是人能控制的'}
{'评论时间': '2024-02-04 13:56:01', 'IP属地': '河南', '评论内容': '我们南阳临近湖北也被喷的厉害'}
{'评论时间': '2024-02-04 17:48:15', 'IP属地': '广东', '评论内容': '在武汉机场困了16个小时'}
{'评论时间': '2024-02-04 22:10:04', 'IP属地': '江苏', '评论内容': '今天就站在这，我看谁敢骂'}
{'评论时间': '2024-02-04 18:54:06', 'IP属地': '陕西', '评论内容': '朋友家里是湖北的，去了差点没把我冻死，真没暖气'}
{'评论时间': '2024-02-04 21:08:11', 'IP属地': '湖北', '评论内容': '信阳是湖北的'}
{'评论时间': '2024-02-04 21:02:28', 'IP属地': '山东', '评论内容': '想知道这样的天气，隐藏车把手这么开门'}
{'评论时间': '2024-02-04 13:17:40', 'IP属地': '湖北', '评论内容': '已经下雪了 开心了'}
{'评论时间': '2024-02-04 01:21:41', 'IP属地': '湖北', '评论内容': '好了好了都知道湖北下的冰了'}
{'评论时间': '2024-02-04 23:08:32', 'IP属地': '江西', '评论内容': '谁敢喷我湘鄂老表'}
{'评论时间': '2024-02-04 23:51:29', 'IP属地': '辽宁', '评论内容': '我记着18年左右那会辽宁省也下冻雨来着'}
{'评论时间': '2024-02-04 16:29:32', 'IP属地': '湖北', '评论内容': '武汉赶紧这样的机器搞五十台'}
{'评论时间': '2024-02-04 19:37:17', 'IP属地': '广东', '评论内容': '怪不得我的高铁都不经过湖北了，长沙南直接到驻马店'}
{'评论时间': '2024-02-04 21:54:40', 'IP属地': '湖南', '评论内容': '湖北冷如雨，湖南热如满天繁星大雪'}
{'评论时间': '2024-02-04 19:23:25', 'IP属地': '湖北', '评论内容': '湖北下冻雨也要被骂？'}
{'评论时间': '2024-02-04 15:23:33', 'IP属地': '湖北', '评论内容': '我们一大清早上班第一件事就是在单位里铲雪，马上4点半下班了，刚刚领导又在群里通知，下班别走了，先把雪铲完了再回家'}
{'评论时间': '2024-02-04 17:33:04', 'IP属地': '湖北', '评论内容': '还好我回来的早'}
{'评论时间': '2024-02-04 22:56:34', 'IP属地': '湖北', '评论内容': '真的全都被冻住了，我看别人车盖昨天只有一层冰，今天是冰上还积了一层雪'}
{'评论时间': '2024-02-04 23:58:08', 'IP属地': '贵州', '评论内容': '火花带闪电的回家'}
{'评论时间': '2024-02-04 22:46:51', 'IP属地': '湖北', '评论内容': '应该只有湖北能刷到吧'}
{'评论时间': '2024-02-04 18:00:41', 'IP属地': '湖北', '评论内容': '不懂骂人的是啥心理，那么阴暗啊？平常都见不得光啊？这是人家湖北乐意这样啊？天灾谁避免得了啊？骂人的喷子全部反噬在自己身上，永远发不了财，永远没钱'}
{'评论时间': '2024-02-04 12:20:04', 'IP属地': '辽宁', '评论内容': '在我们东北见不到的景色'}
{'评论时间': '2024-02-04 22:19:32', 'IP属地': '河南', '评论内容': '加油'}
{'评论时间': '2024-02-04 20:39:46', 'IP属地': '浙江', '评论内容': '课代表们有冻雨的照片吗？想看一下'}
{'评论时间': '2024-02-04 19:32:02', 'IP属地': '江西', '评论内容': '谁敢骂我老表？嗯？'}
{'评论时间': '2024-02-04 17:18:37', 'IP属地': '山西', '评论内容': '大过年的希望大家都平安'}
{'评论时间': '2024-02-04 23:28:10', 'IP属地': '湖北', '评论内容': '一个从我有记忆以来的大树，因为这个天气，直接在我面前断的'}
{'评论时间': '2024-02-04 18:58:58', 'IP属地': '湖北', '评论内容': '喷子都在湖北过年吧！'}
{'评论时间': '2024-02-04 19:33:08', 'IP属地': '广西', '评论内容': '武汉真的很好'}
{'评论时间': '2024-02-04 23:03:07', 'IP属地': '山东', '评论内容': '长见识了，我第一次听说冻雨'}
{'评论时间': '2024-02-04 23:19:57', 'IP属地': '广东', '评论内容': '绿皮火车便宜呀'}
{'评论时间': '2024-02-04 23:00:05', 'IP属地': '湖南', '评论内容': '手机内屏今天晚上摔坏了 我爸说这几天都不知道能不能去修'}
{'评论时间': '2024-02-04 22:27:02', 'IP属地': '湖北', '评论内容': '所以就看到有人说湖北高速不如河南，遇事就封路'}
{'评论时间': '2024-02-04 21:36:33', 'IP属地': '湖南', '评论内容': '湖南湖北高速被骂惨了 谁管管呢'}
{'评论时间': '2024-02-04 19:48:02', 'IP属地': '湖北', '评论内容': '我们湖北真的没有暖气'}
{'评论时间': '2024-02-04 20:32:55', 'IP属地': '河北', '评论内容': '都是一家人，都能体谅理解，只会心疼家人的辛苦'}
{'评论时间': '2024-02-04 01:17:49', 'IP属地': '湖北', '评论内容': '今年没有赚到钱，手机壳都买不起，所以今天把手机放室外了，明天早上就有手机壳了'}
{'评论时间': '2024-02-04 13:00:19', 'IP属地': '湖北', '评论内容': '我们也不想啊 我们回家的人也在路上堵着呀 谁不想一路畅通 平平安安的到家'}
{'评论时间': '2024-02-04 17:34:40', 'IP属地': '山东', '评论内容': '经历过冻雨就知道真的很危险，之前哈尔滨冻雨，看着很粗的树说断就断，楼前刚种的小树全都冻死了'}
{'评论时间': '2024-02-04 21:37:18', 'IP属地': '湖北', '评论内容': '集合点我评论 别骂了湖北人送热水吃的不收钱杠杠的没说的'}
{'评论时间': '2024-02-04 20:01:47', 'IP属地': '湖南', '评论内容': '鄂鄂坚持住，很棒了，加油'}
{'评论时间': '2024-02-04 23:14:17', 'IP属地': '四川', '评论内容': '辛苦了，天灾不能怪湖北的小可爱们啊，他们都很努力啦'}
{'评论时间': '2024-02-04 20:17:53', 'IP属地': '河南', '评论内容': '我什么时候才能回湖北过年？'}
{'评论时间': '2024-02-04 13:05:33', 'IP属地': '广东', '评论内容': '爱我大湖北'}
{'评论时间': '2024-02-04 20:00:54', 'IP属地': '湖北', '评论内容': '这不是湖北的错'}
{'评论时间': '2024-02-04 20:38:12', 'IP属地': '浙江', '评论内容': '树上的冰风一吹哗啦哗啦的，挺吓人！以前读书路上都怕树上的冰掉下来砸脑袋'}
{'评论时间': '2024-02-04 21:05:12', 'IP属地': '湖南', '评论内容': '家人们，辛苦了'}
{'评论时间': '2024-02-04 20:58:37', 'IP属地': '云南', '评论内容': '谁敢骂'}
{'评论时间': '2024-02-04 23:16:31', 'IP属地': '青海', '评论内容': '今年最先到的那批是绿皮火车'}
{'评论时间': '2024-02-04 22:12:38', 'IP属地': '云南', '评论内容': '这是天灾我看看哪个嘴欠的又骂！'}
{'评论时间': '2024-02-04 17:28:44', 'IP属地': '广东', '评论内容': '新冠之后四年又遇冰冻雨雪，武汉顶住！'}
{'评论时间': '2024-02-04 15:48:01', 'IP属地': '山东', '评论内容': '湖北这种天气居然没有供暖，怎么想的'}
{'评论时间': '2024-02-04 20:24:19', 'IP属地': '广西', '评论内容': '岁月静好的背后是他人负重前行，在外的游子急切想回家的心情我们都能理解，也请游子们不要急躁、不要骂他们，学会体谅和感恩为我们的回家保驾护航的工作人员'}
{'评论时间': '2024-02-04 20:28:21', 'IP属地': '湖北', '评论内容': '湖北人高冷，但内心善良，就像天蝎座，都在实际行动上，当你在湖北遇见困难，找身边的湖北人，相信我，他们一定会出手帮。'}
{'评论时间': '2024-02-04 17:31:49', 'IP属地': '湖南', '评论内容': '今天早上看到的车都变这样了'}
{'评论时间': '2024-02-04 13:39:02', 'IP属地': '湖北', '评论内容': '老表们，鄂鄂现在是全员出动，昼夜不停在铲雪，这是07年冬天以后最大一场雪，还有那年没有的冻雨，希望各位老表们耐心等待下，我们正在十八般武艺全部上阵拼命努力着'}
{'评论时间': '2024-02-04 19:56:51', 'IP属地': '湖北', '评论内容': '我们湖北人也很难啊，我老家有个表姐明天送亲这种天气，大走过去都要三个小时，车都不一定能开，还有大雪呢'}
{'评论时间': '2024-02-04 18:03:33', 'IP属地': '湖南', '评论内容': '湖南也下了冻雨'}
{'评论时间': '2024-02-04 23:46:50', 'IP属地': '广东', '评论内容': '你们是不是还没有暖气啊在家里也会很冷啊'}
{'评论时间': '2024-02-04 07:45:28', 'IP属地': '湖北', '评论内容': '很多人都说 没有铲是因为不是雪 所以没铲 那这能铲的  应该不是冻雨'}
{'评论时间': '2024-02-04 22:25:35', 'IP属地': '湖北', '评论内容': '是他们说湖北高冷的，就高冷给他们看'}
